Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,17,29/04/2015 06:51:26 PM,87585472,8,1,400.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,5.13783838488648,0.1027567676977296,1.0948184E7,1.9919457325854022E7,5.3421226E7,750058.0,8.6829311E7,1.2404187285714285E7,2.1050639377807632E7,5.3421226E7,750058.0,0,0,0,0,0,0,0,0,0,64,8,0.09133934906464854,0.011417418633081067,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,55.55555555555556,50.0,50.0,0,0,0,0,0,0,8,400,1,50,-1,-1,8,0,1505321.5,3485.329324468493,1507786.0,1502857.0,4.1536037E7,1.6808195475167524E7,5.3421226E7,2.9650848E7,No Label
131.202.240.87-224.0.0.252-64036-5355-17,131.202.240.87,64036,224.0.0.252,5355,17,29/04/2015 06:51:26 PM,410637,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,107.15059772986848,4.870481714994022,410637.0,0.0,410637.0,410637.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.435240857497011,2.435240857497011,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-60662-5355-17,131.202.240.87,60662,224.0.0.252,5355,17,29/04/2015 06:43:49 PM,413396,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,106.43547591171661,4.8379761778053005,413396.0,0.0,413396.0,413396.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.4189880889026503,2.4189880889026503,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-64.12.27.65-64714-443-6,131.202.240.87,64714,64.12.27.65,443,6,29/04/2015 06:50:32 PM,117096028,2,4,46.0,143.0,46.0,0.0,23.0,32.526911934581186,137.0,0.0,35.75,67.55923326977594,1.6140598722955828,0.05123999594589152,2.34192056E7,5.229085777774642E7,1.16959925E8,59.0,78911.0,78911.0,0.0,78911.0,78911.0,1.17075934E8,3.902531133333333E7,6.754424723095243E7,1.17018683E8,59.0,0,1,0,0,40,80,0.017079998648630506,0.03415999729726101,0.0,137.0,27.857142857142858,50.86724083805009,2587.476190476191,0,0,0,1,1,0,0,0,2.0,32.5,23.0,35.75,0,0,0,0,0,0,2,46,4,143,-1,16384,1,0,57192.0,0.0,57192.0,57192.0,1.16959925E8,0.0,1.16959925E8,1.16959925E8,No Label
131.202.240.87-64.12.104.73-42524-443-6,131.202.240.87,42524,64.12.104.73,443,6,29/04/2015 06:50:32 PM,55062,0,2,0.0,74.0,0,0,0,0,74.0,0.0,37.0,52.32590180780452,1343.9395590425338,36.32269078493335,55062.0,0.0,55062.0,55062.0,0,0,0,0,0,55062.0,55062.0,0.0,55062.0,55062.0,0,1,0,0,0,40,0.0,36.32269078493335,0.0,74.0,49.33333333333333,42.72391992003231,1825.3333333333335,0,0,0,1,1,0,0,0,0.0,74.0,0.0,37.0,0,0,0,0,0,0,0,0,2,74,-1,16384,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-77.72.169.130-17208-11113-17,131.202.240.87,17208,77.72.169.130,11113,17,29/04/2015 06:50:35 PM,137935,1,3,18.0,193.0,18.0,18.0,18.0,0.0,108.0,18.0,64.33333333333333,45.05922029211484,1529.7060209518977,28.999166273969625,45978.33333333333,79469.67272068845,137742.0,65.0,0,0,0,0,0,137870.0,68935.0,97307.79258620556,137742.0,128.0,0,0,0,0,8,24,7.249791568492406,21.749374705477216,18.0,108.0,63.8,45.03554152000395,2028.1999999999998,0,0,0,0,0,0,0,0,3.0,79.75,18.0,64.33333333333333,0,0,0,0,0,0,1,18,3,193,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-56771-5355-17,131.202.240.87,56771,224.0.0.252,5355,17,29/04/2015 06:46:13 PM,418483,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,105.14166644762153,4.7791666567100695,418483.0,0.0,418483.0,418483.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.3895833283550347,2.3895833283550347,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.244.3-55517-53-17,131.202.240.87,55517,131.202.244.3,53,17,29/04/2015 06:47:46 PM,1672,0,2,0.0,114.0,0,0,0,0,82.0,32.0,57.0,35.35533905932738,68181.81818181818,1196.1722488038276,1672.0,0.0,1672.0,1672.0,0,0,0,0,0,1672.0,1672.0,0.0,1672.0,1672.0,0,0,0,0,0,16,0.0,1196.1722488038276,32.0,82.0,48.66666666666667,28.867513459481287,833.3333333333334,0,0,0,0,0,0,0,0,0.0,73.0,0.0,57.0,0,0,0,0,0,0,0,0,2,114,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-53266-5355-17,131.202.240.87,53266,224.0.0.252,5355,17,29/04/2015 06:52:52 PM,410949,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,107.06924703552022,4.86678395616001,410949.0,0.0,410949.0,410949.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.433391978080005,2.433391978080005,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-63159-5355-17,131.202.240.87,63159,224.0.0.252,5355,17,29/04/2015 06:46:53 PM,413114,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,106.50813092754059,4.8412786785245725,413114.0,0.0,413114.0,413114.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.4206393392622862,2.4206393392622862,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
