Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.2.15-74.125.207.16-42903-465-6,74.125.207.16,465,10.0.2.15,42903,6,05/06/2015 09:37:53 PM,30,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66666.66666666667,30.0,0.0,30.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,33333.333333333336,33333.333333333336,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,65535,0,0,0,0,0,0,0,0,0,0,No Label
198.7.63.141-10.0.2.15-53-8601-17,10.0.2.15,8601,198.7.63.141,53,17,05/06/2015 09:26:54 PM,120279,0,2,0.0,277.0,0,0,0,0,240.0,37.0,138.5,143.54267658086914,2302.9789073736897,16.62800655143458,120279.0,0.0,120279.0,120279.0,0,0,0,0,0,120279.0,120279.0,0.0,120279.0,120279.0,0,0,0,0,0,16,0.0,16.62800655143458,37.0,240.0,104.66666666666667,117.20210464549403,13736.333333333334,0,0,0,0,0,0,0,0,0.0,157.0,0.0,138.5,0,0,0,0,0,0,0,0,2,277,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
198.7.63.141-10.0.2.15-53-44604-17,10.0.2.15,44604,198.7.63.141,53,17,05/06/2015 08:39:51 PM,107255,0,2,0.0,274.0,0,0,0,0,238.0,36.0,137.0,142.8355697996826,2554.6594564355973,18.647149317048157,107255.0,0.0,107255.0,107255.0,0,0,0,0,0,107255.0,107255.0,0.0,107255.0,107255.0,0,0,0,0,0,16,0.0,18.647149317048157,36.0,238.0,103.33333333333333,116.6247543763044,13601.333333333332,0,0,0,0,0,0,0,0,0.0,155.0,0.0,137.0,0,0,0,0,0,0,0,0,2,274,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
198.7.63.141-10.0.2.15-53-6443-17,10.0.2.15,6443,198.7.63.141,53,17,05/06/2015 09:47:12 PM,61086,0,2,0.0,265.0,0,0,0,0,228.0,37.0,132.5,135.0573952066306,4338.146220083161,32.740726189306876,61086.0,0.0,61086.0,61086.0,0,0,0,0,0,61086.0,61086.0,0.0,61086.0,61086.0,0,0,0,0,0,16,0.0,32.740726189306876,37.0,228.0,100.66666666666666,110.27390141521852,12160.333333333332,0,0,0,0,0,0,0,0,0.0,151.0,0.0,132.5,0,0,0,0,0,0,0,0,2,265,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
198.7.63.141-10.0.2.15-53-4743-17,10.0.2.15,4743,198.7.63.141,53,17,05/06/2015 09:36:51 PM,60356,0,2,0.0,277.0,0,0,0,0,240.0,37.0,138.5,143.54267658086914,4589.436012989595,33.13672211544834,60356.0,0.0,60356.0,60356.0,0,0,0,0,0,60356.0,60356.0,0.0,60356.0,60356.0,0,0,0,0,0,16,0.0,33.13672211544834,37.0,240.0,104.66666666666667,117.20210464549403,13736.333333333334,0,0,0,0,0,0,0,0,0.0,157.0,0.0,138.5,0,0,0,0,0,0,0,0,2,277,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
10.0.2.15-65.55.223.41-15685-40028-17,10.0.2.15,15685,65.55.223.41,40028,17,05/06/2015 08:33:15 PM,33280,0,2,0.0,54.0,0,0,0,0,34.0,20.0,27.0,9.899494936611665,1622.596153846154,60.096153846153854,33280.0,0.0,33280.0,33280.0,0,0,0,0,0,33280.0,33280.0,0.0,33280.0,33280.0,0,0,0,0,0,16,0.0,60.096153846153854,20.0,34.0,29.333333333333332,8.082903768654761,65.33333333333334,0,0,0,0,0,0,0,0,0.0,44.0,0.0,27.0,0,0,0,0,0,0,0,0,2,54,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
198.7.63.141-10.0.2.15-53-28194-17,10.0.2.15,28194,198.7.63.141,53,17,05/06/2015 08:15:38 PM,59182,0,2,0.0,265.0,0,0,0,0,228.0,37.0,132.5,135.0573952066306,4477.71281808658,33.79405900442702,59182.0,0.0,59182.0,59182.0,0,0,0,0,0,59182.0,59182.0,0.0,59182.0,59182.0,0,0,0,0,0,16,0.0,33.79405900442702,37.0,228.0,100.66666666666666,110.27390141521852,12160.333333333332,0,0,0,0,0,0,0,0,0.0,151.0,0.0,132.5,0,0,0,0,0,0,0,0,2,265,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
10.0.2.15-78.46.223.24-53475-53-17,10.0.2.15,53475,78.46.223.24,53,17,05/06/2015 09:34:53 PM,151231,0,2,0.0,265.0,0,0,0,0,228.0,37.0,132.5,135.0573952066306,1752.2862376100138,13.224801793283122,151231.0,0.0,151231.0,151231.0,0,0,0,0,0,151231.0,151231.0,0.0,151231.0,151231.0,0,0,0,0,0,16,0.0,13.224801793283122,37.0,228.0,100.66666666666666,110.27390141521852,12160.333333333332,0,0,0,0,0,0,0,0,0.0,151.0,0.0,132.5,0,0,0,0,0,0,0,0,2,265,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
198.7.63.141-10.0.2.15-53-30657-17,10.0.2.15,30657,198.7.63.141,53,17,05/06/2015 09:45:52 PM,58830,0,2,0.0,277.0,0,0,0,0,240.0,37.0,138.5,143.54267658086914,4708.482066972633,33.996260411354754,58830.0,0.0,58830.0,58830.0,0,0,0,0,0,58830.0,58830.0,0.0,58830.0,58830.0,0,0,0,0,0,16,0.0,33.996260411354754,37.0,240.0,104.66666666666667,117.20210464549403,13736.333333333334,0,0,0,0,0,0,0,0,0.0,157.0,0.0,138.5,0,0,0,0,0,0,0,0,2,277,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
10.0.2.15-64.4.23.162-15685-40019-17,10.0.2.15,15685,64.4.23.162,40019,17,05/06/2015 09:41:02 PM,96713,0,2,0.0,173.0,0,0,0,0,136.0,37.0,86.5,70.0035713374682,1788.7977831315336,20.679743157589986,96713.0,0.0,96713.0,96713.0,0,0,0,0,0,96713.0,96713.0,0.0,96713.0,96713.0,0,0,0,0,0,16,0.0,20.679743157589986,37.0,136.0,103.0,57.15767664977295,3267.0,0,0,0,0,0,0,0,0,0.0,154.5,0.0,86.5,0,0,0,0,0,0,0,0,2,173,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
