Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-10.0.2.15-53828-49539-17,10.0.2.15,49539,131.202.240.87,53828,17,05/06/2015 08:23:09 PM,2767290,4,1,112.0,28.0,28.0,28.0,28.0,0.0,28.0,28.0,28.0,0.0,50.59101142272765,1.8068218365259876,691822.5,675079.0954293184,1600884.0,157009.0,2566521.0,855507.0,723078.131592292,1600884.0,157009.0,0,0,0,0,0,0,0,0,0,32,8,1.44545746922079,0.3613643673051975,28.0,28.0,28.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.6,28.0,28.0,0,0,0,0,0,0,4,112,1,28,-1,-1,4,0,0,0,0,0,0,0,0,0,No Label
10.0.2.15-74.125.71.16-50605-465-6,74.125.71.16,465,10.0.2.15,50605,6,05/06/2015 09:32:08 PM,154,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12987.012987012988,154.0,0.0,154.0,154.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,6493.506493506494,6493.506493506494,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,65535,0,0,0,0,0,0,0,0,0,0,No Label
177.185.166.204-10.0.2.15-43683-49539-17,10.0.2.15,49539,177.185.166.204,43683,17,05/06/2015 08:23:09 PM,224881,0,2,0.0,44.0,0,0,0,0,26.0,18.0,22.0,5.656854249492381,195.6590374464717,8.893592611203259,224881.0,0.0,224881.0,224881.0,0,0,0,0,0,224881.0,224881.0,0.0,224881.0,224881.0,0,0,0,0,0,16,0.0,8.893592611203259,18.0,26.0,20.666666666666668,4.618802153517006,21.333333333333332,0,0,0,0,0,0,0,0,0.0,31.0,0.0,22.0,0,0,0,0,0,0,0,0,2,44,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
10.0.2.15-74.125.207.16-48946-465-6,74.125.207.16,465,10.0.2.15,48946,6,05/06/2015 08:18:03 PM,414,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4830.917874396136,414.0,0.0,414.0,414.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2415.458937198068,2415.458937198068,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,65535,0,0,0,0,0,0,0,0,0,0,No Label
157.55.130.166-10.0.2.15-443-49539-17,10.0.2.15,49539,157.55.130.166,443,17,05/06/2015 08:23:09 PM,34682,0,2,0.0,44.0,0,0,0,0,26.0,18.0,22.0,5.656854249492381,1268.6696268957962,57.66680122253619,34682.0,0.0,34682.0,34682.0,0,0,0,0,0,34682.0,34682.0,0.0,34682.0,34682.0,0,0,0,0,0,16,0.0,57.66680122253619,18.0,26.0,20.666666666666668,4.618802153517006,21.333333333333332,0,0,0,0,0,0,0,0,0.0,31.0,0.0,22.0,0,0,0,0,0,0,0,0,2,44,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
10.0.2.15-78.46.223.24-52717-53-17,10.0.2.15,52717,78.46.223.24,53,17,05/06/2015 09:37:36 PM,152007,0,2,0.0,265.0,0,0,0,0,228.0,37.0,132.5,135.0573952066306,1743.3407672015105,13.157288809068003,152007.0,0.0,152007.0,152007.0,0,0,0,0,0,152007.0,152007.0,0.0,152007.0,152007.0,0,0,0,0,0,16,0.0,13.157288809068003,37.0,228.0,100.66666666666666,110.27390141521852,12160.333333333332,0,0,0,0,0,0,0,0,0.0,151.0,0.0,132.5,0,0,0,0,0,0,0,0,2,265,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
10.0.2.15-74.125.207.16-48999-465-6,74.125.207.16,465,10.0.2.15,48999,6,05/06/2015 09:38:10 PM,196,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10204.081632653062,196.0,0.0,196.0,196.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,5102.040816326531,5102.040816326531,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,65535,0,0,0,0,0,0,0,0,0,0,No Label
142.1.33.2-10.0.2.15-3230-49539-17,10.0.2.15,49539,142.1.33.2,3230,17,05/06/2015 09:23:39 PM,30653,0,2,0.0,42.0,0,0,0,0,21.0,21.0,21.0,0.0,1370.1758392327015,65.24646853489055,30653.0,0.0,30653.0,30653.0,0,0,0,0,0,30653.0,30653.0,0.0,30653.0,30653.0,0,0,0,0,0,16,0.0,65.24646853489055,21.0,21.0,21.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,31.5,0.0,21.0,0,0,0,0,0,0,0,0,2,42,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
10.0.2.15-64.4.23.169-49539-40008-17,10.0.2.15,49539,64.4.23.169,40008,17,05/06/2015 09:23:38 PM,95611,0,2,0.0,54.0,0,0,0,0,34.0,20.0,27.0,9.899494936611665,564.7885703527837,20.918095198251248,95611.0,0.0,95611.0,95611.0,0,0,0,0,0,95611.0,95611.0,0.0,95611.0,95611.0,0,0,0,0,0,16,0.0,20.918095198251248,20.0,34.0,29.333333333333332,8.082903768654761,65.33333333333334,0,0,0,0,0,0,0,0,0.0,44.0,0.0,27.0,0,0,0,0,0,0,0,0,2,54,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
157.55.130.150-10.0.2.15-443-49539-17,10.0.2.15,49539,157.55.130.150,443,17,05/06/2015 08:48:09 PM,31861,0,2,0.0,44.0,0,0,0,0,26.0,18.0,22.0,5.656854249492381,1380.99871316029,62.772668780013184,31861.0,0.0,31861.0,31861.0,0,0,0,0,0,31861.0,31861.0,0.0,31861.0,31861.0,0,0,0,0,0,16,0.0,62.772668780013184,18.0,26.0,20.666666666666668,4.618802153517006,21.333333333333332,0,0,0,0,0,0,0,0,0.0,31.0,0.0,22.0,0,0,0,0,0,0,0,0,2,44,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
