Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-173.252.79.88-34904-50019-17,131.202.240.150,34904,173.252.79.88,50019,17,30/03/2015 03:30:34 PM,158351,1,3,152.0,224.0,152.0,152.0,152.0,0.0,104.0,44.0,74.66666666666667,30.02221399786054,2374.4719010299905,25.260339372659473,52783.666666666664,45611.67603074166,79230.0,116.0,0,0,0,0,0,158351.0,79175.5,77.07463914933368,79230.0,79121.0,0,0,0,0,8,24,6.315084843164868,18.945254529494605,44.0,152.0,84.0,45.51922670696417,2072.0,0,0,0,0,0,0,0,0,3.0,105.0,152.0,74.66666666666667,0,0,0,0,0,0,1,152,3,224,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.5-4555-53-17,131.202.240.150,4555,131.202.244.5,53,17,30/03/2015 03:30:30 PM,405,0,2,0.0,175.0,0,0,0,0,141.0,34.0,87.5,75.66042558696059,432098.76543209876,4938.271604938272,405.0,0.0,405.0,405.0,0,0,0,0,0,405.0,405.0,0.0,405.0,405.0,0,0,0,0,0,16,0.0,4938.271604938272,34.0,141.0,69.66666666666666,61.776478803289955,3816.333333333333,0,0,0,0,0,0,0,0,0.0,104.5,0.0,87.5,0,0,0,0,0,0,0,0,2,175,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.6.3-30807-53-17,131.202.240.150,30807,131.202.6.3,53,17,30/03/2015 03:36:05 PM,1428,0,2,0.0,175.0,0,0,0,0,141.0,34.0,87.5,75.66042558696059,122549.01960784313,1400.5602240896358,1428.0,0.0,1428.0,1428.0,0,0,0,0,0,1428.0,1428.0,0.0,1428.0,1428.0,0,0,0,0,0,16,0.0,1400.5602240896358,34.0,141.0,69.66666666666666,61.776478803289955,3816.333333333333,0,0,0,0,0,0,0,0,0.0,104.5,0.0,87.5,0,0,0,0,0,0,0,0,2,175,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.3-33706-53-17,131.202.240.150,33706,131.202.244.3,53,17,30/03/2015 03:38:32 PM,493,0,2,0.0,271.0,0,0,0,0,235.0,36.0,135.5,140.71424945612296,549695.7403651116,4056.795131845842,493.0,0.0,493.0,493.0,0,0,0,0,0,493.0,493.0,0.0,493.0,493.0,0,0,0,0,0,16,0.0,4056.795131845842,36.0,235.0,102.33333333333333,114.89270356873553,13200.333333333332,0,0,0,0,0,0,0,0,0.0,153.5,0.0,135.5,0,0,0,0,0,0,0,0,2,271,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.240.87-57275-50769-17,131.202.240.87,50769,131.202.240.150,57275,17,30/03/2015 03:40:46 PM,34263560,1136,105,229205.0,7069.0,218.0,58.0,201.76496478873202,40.96157268282972,218.0,61.0,67.32380952380949,15.11271448794488,6895.78082370892,36.21923699697288,27631.903225806433,14619.122793164981,95553.0,8.0,3.4259009E7,30184.148898678413,13161.599106038517,95553.0,8.0,3.3963048E7,326567.7692307693,164782.59169862908,490703.0,12316.0,0,0,0,0,9088,840,33.15475683203964,3.0644801649332414,58.0,218.0,190.41223832528146,54.352217292018445,2954.163524558789,0,0,0,0,0,0,0,0,0.0,190.56567284448025,201.76496478873239,67.32380952380953,0,0,0,0,0,0,1136,229205,105,7069,-1,-1,1136,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-209.148.205.16-60694-443-6,131.202.240.150,60694,209.148.205.16,443,6,30/03/2015 03:38:31 PM,117965644,24,28,1380.0,48204.0,533.0,0.0,57.49999999999999,147.47497945488038,6690.0,0.0,1721.5714285714287,1957.485318587798,420.32576874670394,0.440806307978957,2313051.843137255,1.1545307497593865E7,5.8930692E7,3.0,1.17944127E8,5128005.521739132,1.6966209971325707E7,5.8930692E7,12.0,1.17965616E8,4369096.888888889,1.5728320124457002E7,5.898876E7,18.0,0,0,0,0,768,912,0.20344906522105707,0.23735724275789993,0.0,6690.0,935.5471698113209,1644.5437123319898,2704524.0217706827,0,1,0,0,0,0,0,0,1.0,953.5384615384615,57.5,1721.5714285714287,0,0,0,0,0,0,24,1380,28,48204,-1,520,6,0,75821.0,20701.258126017365,90459.0,61183.0,5.8896351E7,48565.507945454454,5.8930692E7,5.886201E7,No Label
131.202.240.150-131.202.244.3-13816-53-17,131.202.240.150,13816,131.202.244.3,53,17,30/03/2015 03:39:59 PM,396,0,2,0.0,114.0,0,0,0,0,82.0,32.0,57.0,35.35533905932738,287878.7878787879,5050.505050505051,396.0,0.0,396.0,396.0,0,0,0,0,0,396.0,396.0,0.0,396.0,396.0,0,0,0,0,0,16,0.0,5050.505050505051,32.0,82.0,48.66666666666667,28.867513459481287,833.3333333333334,0,0,0,0,0,0,0,0,0.0,73.0,0.0,57.0,0,0,0,0,0,0,0,0,2,114,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-69.171.255.36-36311-3478-17,131.202.240.150,36311,69.171.255.36,3478,17,30/03/2015 03:30:34 PM,79218,0,2,0.0,60.0,0,0,0,0,32.0,28.0,30.0,2.8284271247461903,757.4036203893055,25.24678734631018,79218.0,0.0,79218.0,79218.0,0,0,0,0,0,79218.0,79218.0,0.0,79218.0,79218.0,0,0,0,0,0,16,0.0,25.24678734631018,28.0,32.0,29.333333333333332,2.309401076758503,5.333333333333333,0,0,0,0,0,0,0,0,0.0,44.0,0.0,30.0,0,0,0,0,0,0,0,0,2,60,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.5-36647-53-17,131.202.240.150,36647,131.202.244.5,53,17,30/03/2015 03:33:00 PM,616,0,2,0.0,175.0,0,0,0,0,141.0,34.0,87.5,75.66042558696059,284090.90909090906,3246.753246753247,616.0,0.0,616.0,616.0,0,0,0,0,0,616.0,616.0,0.0,616.0,616.0,0,0,0,0,0,16,0.0,3246.753246753247,34.0,141.0,69.66666666666666,61.776478803289955,3816.333333333333,0,0,0,0,0,0,0,0,0.0,104.5,0.0,87.5,0,0,0,0,0,0,0,0,2,175,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.5-7820-53-17,131.202.240.150,7820,131.202.244.5,53,17,30/03/2015 03:34:58 PM,355,0,2,0.0,114.0,0,0,0,0,82.0,32.0,57.0,35.35533905932738,321126.76056338026,5633.802816901409,355.0,0.0,355.0,355.0,0,0,0,0,0,355.0,355.0,0.0,355.0,355.0,0,0,0,0,0,16,0.0,5633.802816901409,32.0,82.0,48.66666666666667,28.867513459481287,833.3333333333334,0,0,0,0,0,0,0,0,0.0,73.0,0.0,57.0,0,0,0,0,0,0,0,0,2,114,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
