Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-224.0.0.252-51325-5355-17,131.202.240.87,51325,224.0.0.252,5355,17,29/04/2015 07:07:51 PM,410944,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,107.07054975860459,4.866843170845663,410944.0,0.0,410944.0,410944.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.4334215854228316,2.4334215854228316,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,17,29/04/2015 07:11:30 PM,1500492,2,1,100.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,99.96721075487241,1.999344215097448,750246.0,592.5554826343268,750665.0,749827.0,750665.0,750665.0,0.0,750665.0,750665.0,0,0,0,0,0,0,0,0,0,16,8,1.3328961433982986,0.6664480716991493,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,66.66666666666667,50.0,50.0,0,0,0,0,0,0,2,100,1,50,-1,-1,2,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-191.180.227.180-23-44111-6,191.180.227.180,44111,131.202.240.87,23,6,29/04/2015 07:01:56 PM,8997070,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33344188719216367,4498535.0,2125756.731504807,6001672.0,2995398.0,6001672.0,6001672.0,0.0,6001672.0,6001672.0,0,0,0,0,0,0,0,0,0,80,40,0.22229459146144243,0.11114729573072121,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,5840,0,0,2995398.0,0.0,2995398.0,2995398.0,6001672.0,0.0,6001672.0,6001672.0,No Label
131.202.240.87-131.202.244.3-13976-53-17,131.202.240.87,13976,131.202.244.3,53,17,29/04/2015 07:05:28 PM,215230,0,2,0.0,544.0,0,0,0,0,511.0,33.0,272.0,337.9970414071697,2527.5286902383496,9.292384890582168,215230.0,0.0,215230.0,215230.0,0,0,0,0,0,215230.0,215230.0,0.0,215230.0,215230.0,0,0,0,0,0,16,0.0,9.292384890582168,33.0,511.0,192.33333333333334,275.97342867264115,76161.33333333334,0,0,0,0,0,0,0,0,0.0,288.5,0.0,272.0,0,0,0,0,0,0,0,0,2,544,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-58992-5355-17,131.202.240.87,58992,224.0.0.252,5355,17,29/04/2015 07:01:16 PM,415406,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,105.92047298305754,4.814566953775342,415406.0,0.0,415406.0,415406.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.407283476887671,2.407283476887671,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-61432-5355-17,131.202.240.87,61432,224.0.0.252,5355,17,29/04/2015 07:11:30 PM,411629,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,106.89237152873096,4.858744160396862,411629.0,0.0,411629.0,411629.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.429372080198431,2.429372080198431,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.244.3-49672-53-17,131.202.240.87,49672,131.202.244.3,53,17,29/04/2015 07:01:33 PM,440,0,2,0.0,410.0,0,0,0,0,373.0,37.0,205.0,237.58787847867995,931818.1818181818,4545.454545454545,440.0,0.0,440.0,440.0,0,0,0,0,0,440.0,440.0,0.0,440.0,440.0,0,0,0,0,0,16,0.0,4545.454545454545,37.0,373.0,149.0,193.98969044771425,37632.0,0,0,0,0,0,0,0,0,0.0,223.5,0.0,205.0,0,0,0,0,0,0,0,0,2,410,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-63784-5355-17,131.202.240.87,63784,224.0.0.252,5355,17,29/04/2015 07:01:59 PM,410888,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,107.08514242323943,4.86750647378361,410888.0,0.0,410888.0,410888.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.433753236891805,2.433753236891805,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-58701-5355-17,131.202.240.87,58701,224.0.0.252,5355,17,29/04/2015 07:02:54 PM,409891,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,107.3456113942487,4.879345972465851,409891.0,0.0,409891.0,409891.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.4396729862329254,2.4396729862329254,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-49672-5355-17,131.202.240.87,49672,224.0.0.252,5355,17,29/04/2015 07:06:57 PM,411582,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,106.90457794558557,4.859298997526617,411582.0,0.0,411582.0,411582.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.4296494987633084,2.4296494987633084,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
