Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.242-131.202.240.87-50598-4491-6,131.202.240.87,4491,131.202.240.242,50598,6,01/05/2015 04:37:09 PM,131067,793,1544,473.0,2200705.0,422.0,0.0,0.5964691046658245,15.069823604695335,1460.0,0.0,1425.3270725388609,174.18412317882135,1.67942960470599E7,17830.575201995925,56.10744863013695,675.7544167111787,23318.0,12.0,130539.0,164.8219696969697,1161.1531943310029,23354.0,32.0,131067.0,84.94296824368121,844.7645137228475,23701.0,13.0,0,0,0,0,15860,30904,6050.340665461177,11780.23453653475,0.0,1460.0,941.4790419161673,689.6001065878785,475548.30700601335,0,1,0,0,0,0,0,0,1.0,941.8818998716303,0.5964691046658259,1425.3270725388602,0,0,0,0,0,0,793,473,1544,2200705,-1,256,3,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-50598-4491-6,131.202.240.87,4491,131.202.240.242,50598,6,01/05/2015 04:37:09 PM,6140,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,5048.859934853421,488.59934853420197,3070.0,4007.8812357653514,5904.0,236.0,236.0,236.0,0.0,236.0,236.0,0,0,0,0,0,0,0,0,0,40,20,325.73289902280135,162.86644951140067,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,15.5,0.0,0,0,0,0,0,0,2,31,1,0,-1,32767,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-50599-4492-6,131.202.240.87,4492,131.202.240.242,50599,6,01/05/2015 04:37:11 PM,121309,1652,3249,473.0,4625947.0,422.0,0.0,0.28631961259079775,10.441773336933416,1460.0,0.0,1423.806401969838,174.39590069917645,3.813748361621974E7,40400.95953309318,24.75693877551019,68.91963884489122,3223.0,11.0,120470.0,72.96789824348886,121.17594345365318,3223.0,25.0,121309.0,37.348830049261124,97.15113175279131,3991.0,13.0,0,0,0,0,33040,65004,13618.115721009983,26782.843812083192,0.0,1460.0,943.782129742963,687.8852296929048,473186.0892296604,0,1,0,0,0,0,0,0,1.0,943.9746990410121,0.286319612590799,1423.8064019698368,0,0,0,0,0,0,1652,473,3249,4625947,-1,256,3,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-50599-4492-6,131.202.240.87,4492,131.202.240.242,50599,6,01/05/2015 04:37:11 PM,21135,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,1466.7612964277264,141.94464158978,10567.5,14630.746409530855,20913.0,222.0,222.0,222.0,0.0,222.0,222.0,0,0,0,0,0,0,0,0,0,40,20,94.62976105985332,47.31488052992666,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,15.5,0.0,0,0,0,0,0,0,2,31,1,0,-1,32767,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-50600-4493-6,131.202.240.87,4493,131.202.240.242,50600,6,01/05/2015 04:37:13 PM,163241,740,1429,504.0,2041093.0,422.0,0.0,0.6810810810810795,15.639837372494382,1460.0,0.0,1428.3365990202944,163.59853654471883,1.2506643551558739E7,13287.103117476614,75.29566420664213,1274.118076859076,48486.0,12.0,160961.0,217.80920162381574,2178.7824494867855,48486.0,28.0,135539.0,94.91526610644256,1401.1532587918864,48546.0,13.0,0,0,0,0,14800,28604,4533.174876409726,8753.92824106689,0.0,1460.0,940.8281105990786,690.1055207215838,476245.6297304083,0,1,0,0,0,0,0,0,1.0,941.2618718303365,0.6810810810810811,1428.336599020294,0,0,0,0,0,0,740,504,1429,2041093,-1,256,4,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-50601-4494-6,131.202.240.87,4494,131.202.240.242,50601,6,01/05/2015 04:37:14 PM,3098673,20721,40761,504.0,5.7935693E7,422.0,0.0,0.024323150427103007,2.9563567818241094,1460.0,0.0,1421.3511199430814,180.8665467203809,1.8697099371246982E7,19841.39662365148,50.400497714741,1565.632978421849,248961.0,0.0,3097830.0,149.5091698841705,2696.4880744276466,249030.0,0.0,3047255.0,74.76091756624176,2175.809998340524,248979.0,12.0,0,0,0,0,414420,815244,6687.056039795099,13154.340583856381,0.0,1460.0,942.3124603548948,687.8153051677733,473089.8940230371,0,1,0,0,0,0,0,0,1.0,942.3277869945675,0.024323150427102938,1421.351119943083,0,0,0,0,0,0,20721,504,40761,57935693,-1,256,4,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-50603-4498-6,131.202.240.87,4498,131.202.240.242,50603,6,01/05/2015 04:37:20 PM,34206306,51777,102359,504.0,1.45657889E8,422.0,0.0,0.009734051799061347,1.8702354691163126,1460.0,0.0,1423.0100821618132,172.23904808485077,4258232.180931785,4506.069728780419,221.92432607778898,6491.847814649119,577797.0,0.0,3.4205872E7,660.6511124845459,11192.428404857903,577877.0,3.0,3.4162417E7,333.7542449051367,8726.8126683127,623886.0,12.0,0,0,0,0,1035540,2047204,1513.6682692366724,2992.401459543746,0.0,1460.0,944.9930451481474,686.6024290208694,471422.89553735795,0,1,0,0,0,0,0,0,1.0,944.9991760523175,0.00973405179906136,1423.010082161803,0,0,0,0,0,0,51777,504,102359,145657889,-1,256,4,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-21-4471-6,131.202.240.87,4471,131.202.240.242,21,6,01/05/2015 04:38:04 PM,208,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,149038.46153846156,9615.384615384615,208.0,0.0,208.0,208.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,4807.692307692308,4807.692307692308,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,16168,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-50604-4499-6,131.202.240.87,4499,131.202.240.242,50604,6,01/05/2015 04:37:55 PM,61591766,102060,202185,473.0,2.88020974E8,422.0,0.0,0.004634528708602701,1.3285650074280762,1460.0,0.0,1424.541751366326,166.18886467500565,4676297.916185745,4939.702492050642,202.4420070732688,5425.6582829672225,540603.0,5.0,6.1590164E7,603.4760677647231,9372.8912274053,540724.0,19.0,6.1591766E7,304.6322458750512,7277.647057209237,548166.0,12.0,0,0,0,0,2041932,4043724,1657.0396763749231,3282.662815675719,0.0,1460.0,946.6729127087867,686.1043649824793,470739.1996480111,0,1,0,0,0,0,0,0,1.0,946.6760242567667,0.004634528708602783,1424.5417513663228,0,0,0,0,0,0,102060,473,202185,288020974,-1,256,3,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-50604-4499-6,131.202.240.87,4499,131.202.240.242,50604,6,01/05/2015 04:38:56 PM,1138,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,27240.77328646749,2636.2038664323377,569.0,367.6955262170047,829.0,309.0,309.0,309.0,0.0,309.0,309.0,0,0,0,0,0,0,0,0,0,40,20,1757.4692442882251,878.7346221441126,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,15.5,0.0,0,0,0,0,0,0,2,31,1,0,-1,32759,1,0,0,0,0,0,0,0,0,0,No Label
