Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.242-131.202.240.87-50598-4491-6,131.202.240.87,4491,131.202.240.242,50598,6,01/05/2015 04:37:14 PM,128151,1642,9,473.0,400.0,422.0,0.0,0.28806333739342127,10.47351629569695,137.0,0.0,44.444444444444436,43.88653298880851,6812.27614298757,12883.239303633996,77.6672727272726,252.3429139676224,2134.0,2.0,127464.0,77.67458866544798,253.6705158828289,2159.0,2.0,128151.0,16018.875,18635.349591856717,45387.0,173.0,0,0,0,0,32840,204,12813.00965267536,70.22965095863475,0.0,422.0,0.528450363196124,11.354900932483337,128.93377518651099,0,1,0,0,0,0,0,0,0.0,0.5287704421562689,0.28806333739342266,44.44444444444444,0,0,0,0,0,0,1642,473,9,400,-1,256,3,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-50598-4491-6,131.202.240.87,4491,131.202.240.242,50598,6,01/05/2015 04:37:14 PM,8696,85,2,31.0,0.0,31.0,0.0,0.3647058823529412,3.362422096189171,0.0,0.0,0.0,0.0,3564.8574057037717,10004.59981600736,101.11627906976744,637.7282736604924,5933.0,3.0,8687.0,103.41666666666666,645.3302359674583,5933.0,3.0,8533.0,8533.0,0.0,8533.0,8533.0,0,0,0,0,1700,40,9774.609015639373,229.99080036798526,0.0,31.0,0.35227272727272724,3.3046111035119616,10.920454545454545,0,0,0,0,1,0,0,0,0.0,0.3563218390804598,0.36470588235294116,0.0,0,0,0,0,0,0,85,31,2,0,-1,0,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-50599-4492-6,131.202.240.87,4492,131.202.240.242,50599,6,01/05/2015 04:37:16 PM,119456,1650,10,473.0,458.0,422.0,0.0,0.28666666666666535,10.448098839270454,137.0,0.0,45.79999999999999,41.59807687862505,7793.664612911867,13896.330029466915,72.0048221820374,215.00748431642177,1970.0,2.0,118438.0,71.82413583990312,216.3992974716738,1970.0,2.0,119456.0,13272.888888888889,10906.009942280041,28101.0,173.0,0,0,0,0,33000,224,13812.617197964104,83.71283150281275,0.0,422.0,0.5605057194461158,11.41160815608164,130.224800707949,0,1,0,0,0,0,0,0,0.0,0.560843373493976,0.2866666666666667,45.8,0,0,0,0,0,0,1650,473,10,458,-1,256,3,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-50599-4492-6,131.202.240.87,4492,131.202.240.242,50599,6,01/05/2015 04:37:16 PM,21888,85,2,31.0,0.0,31.0,0.0,0.3647058823529412,3.362422096189171,0.0,0.0,0.0,0.0,1416.3011695906432,3974.780701754386,254.51162790697674,2163.562599832187,20067.0,3.0,21878.0,260.45238095238096,2189.2155904157917,20067.0,3.0,21662.0,21662.0,0.0,21662.0,21662.0,0,0,0,0,1700,40,3883.406432748538,91.37426900584795,0.0,31.0,0.35227272727272724,3.3046111035119616,10.920454545454545,0,0,0,0,1,0,0,0,0.0,0.3563218390804598,0.36470588235294116,0.0,0,0,0,0,0,0,85,31,2,0,-1,0,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-50600-4493-6,131.202.240.87,4493,131.202.240.242,50600,6,01/05/2015 04:37:17 PM,140648,1743,7,473.0,284.0,422.0,0.0,0.2713711990820414,10.165582096966642,137.0,0.0,40.57142857142857,49.89274210028663,5382.23081735965,12442.409419259428,80.41623785020009,481.0430023658986,16486.0,2.0,140214.0,80.4902411021813,491.0558887639733,16949.0,2.0,140648.0,23441.333333333336,46465.05555647886,117256.0,188.0,0,0,0,0,34860,164,12392.639781582391,49.769637677037714,0.0,422.0,0.4323243860651057,10.856880121175253,117.87184596557037,0,1,0,0,0,0,0,0,0.0,0.43257142857142855,0.27137119908204244,40.57142857142857,0,0,0,0,0,0,1743,473,7,284,-1,256,3,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-50600-4493-6,131.202.240.87,4493,131.202.240.242,50600,6,01/05/2015 04:37:17 PM,20328,79,2,31.0,0.0,31.0,0.0,0.3924050632911392,3.4877724928706737,0.0,0.0,0.0,0.0,1524.9901613537977,3984.6517119244395,254.1,1900.6144349603753,17030.0,3.0,20319.0,260.5,1924.7683871458,17030.0,3.0,20130.0,20130.0,0.0,20130.0,20130.0,0,0,0,0,1580,40,3886.265249901614,98.38646202282567,0.0,31.0,0.37804878048780494,3.423377308320243,11.719512195121952,0,0,0,0,1,0,0,0,0.0,0.38271604938271603,0.3924050632911392,0.0,0,0,0,0,0,0,79,31,2,0,-1,0,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-50601-4494-6,131.202.240.87,4494,131.202.240.242,50601,6,01/05/2015 04:37:18 PM,3066710,35206,316,473.0,80642.0,422.0,0.0,0.013435209907402249,2.2620451633730396,1460.0,0.0,255.19620253164553,481.025814690056,26450.169725862568,11583.097195365717,86.33512570029045,1831.2148378589586,248409.0,2.0,3066331.0,87.09930407612558,1839.5812387721594,248409.0,2.0,3066710.0,9735.587301587297,31176.56407909926,373381.0,4.0,0,0,0,0,709852,6344,11480.055173133424,103.04202223229454,0.0,1460.0,2.2834501590519047,51.29399089625325,2631.0735020649113,0,1,0,0,0,0,0,0,0.0,2.2835144417544058,0.013435209907402147,255.19620253164558,0,0,0,0,0,0,35206,473,316,80642,-1,256,3,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-50601-4494-6,131.202.240.87,4494,131.202.240.242,50601,6,01/05/2015 04:37:22 PM,31304,75,2,31.0,0.0,31.0,0.0,0.41333333333333333,3.57957166897568,0.0,0.0,0.0,0.0,990.2887809864554,2459.749552772809,411.8947368421052,3256.074288992589,28391.0,3.0,31295.0,422.9054054054054,3299.6770915860093,28391.0,3.0,31265.0,31265.0,0.0,31265.0,31265.0,0,0,0,0,1500,40,2395.859953999489,63.889598773319705,0.0,31.0,0.3974358974358974,3.5100588058482467,12.32051282051282,0,0,0,0,1,0,0,0,0.0,0.4025974025974026,0.41333333333333333,0.0,0,0,0,0,0,0,75,31,2,0,-1,0,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-50603-4498-6,131.202.240.87,4498,131.202.240.242,50603,6,01/05/2015 04:37:25 PM,34176293,59333,245,473.0,52406.0,422.0,0.0,0.007971954898622974,1.7424569899765672,32768.0,0.0,213.9020408163266,2095.9257351075157,1547.2421189741087,1743.2551856926086,573.6491095557009,11793.27597675445,788149.0,2.0,3.4043978E7,573.7878042203198,11805.825431946118,788149.0,2.0,3.4176293E7,140066.77459016396,709056.5297120264,8491096.0,180.0,0,0,0,0,1192004,4924,1736.0864737436561,7.168711948952451,0.0,32768.0,0.8875442689538374,134.83843784133072,18181.404319490404,0,1,0,0,0,0,0,0,0.0,0.8875591661351505,0.007971954898623027,213.90204081632652,0,0,0,0,0,0,59333,473,245,52406,-1,256,3,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-50603-4498-6,131.202.240.87,4498,131.202.240.242,50603,6,01/05/2015 04:37:59 PM,27027,71,2,31.0,0.0,31.0,0.0,0.43661971830985913,3.679023140400945,0.0,0.0,0.0,0.0,1147.001147001147,2701.002701002701,375.37500000000006,2357.582214822611,19937.0,3.0,27014.0,385.9142857142857,2390.6681180200644,19937.0,3.0,26995.0,26995.0,0.0,26995.0,26995.0,0,0,0,0,1420,40,2627.002627002627,74.00007400007401,0.0,31.0,0.41891891891891897,3.603676801058398,12.986486486486488,0,0,0,0,1,0,0,0,0.0,0.4246575342465753,0.43661971830985913,0.0,0,0,0,0,0,0,71,31,2,0,-1,0,1,0,0,0,0,0,0,0,0,0,No Label
