Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.242-74.125.226.174-32634-443-6,74.125.226.174,443,131.202.240.242,32634,6,29/04/2015 07:21:31 PM,56,1,1,0.0,55.0,0.0,0.0,0.0,0.0,55.0,55.0,55.0,0.0,982142.8571428572,35714.28571428572,56.0,0.0,56.0,56.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,17857.14285714286,17857.14285714286,0.0,55.0,36.66666666666667,31.754264805429415,1008.3333333333333,0,0,0,1,1,0,0,0,1.0,55.0,0.0,55.0,0,0,0,0,0,0,1,0,1,55,-1,414,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-74.125.226.174-32634-443-6,131.202.240.242,32634,74.125.226.174,443,6,29/04/2015 07:21:31 PM,36505,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.78701547733187,36505.0,0.0,36505.0,36505.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,27.393507738665935,27.393507738665935,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16442,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-173.194.123.100-32671-443-6,173.194.123.100,443,131.202.240.242,32671,6,29/04/2015 07:21:58 PM,42,1,1,0.0,55.0,0.0,0.0,0.0,0.0,55.0,55.0,55.0,0.0,1309523.8095238097,47619.04761904762,42.0,0.0,42.0,42.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,23809.52380952381,23809.52380952381,0.0,55.0,36.66666666666667,31.754264805429415,1008.3333333333333,0,0,0,1,1,0,0,0,1.0,55.0,0.0,55.0,0,0,0,0,0,0,1,0,1,55,-1,403,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-173.194.123.100-32671-443-6,131.202.240.242,32671,173.194.123.100,443,6,29/04/2015 07:21:58 PM,23348,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.66044200788076,23348.0,0.0,23348.0,23348.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,42.83022100394038,42.83022100394038,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16213,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-74.125.226.184-32669-443-6,74.125.226.184,443,131.202.240.242,32669,6,29/04/2015 07:22:00 PM,64,1,1,0.0,55.0,0.0,0.0,0.0,0.0,55.0,55.0,55.0,0.0,859375.0,31250.0,64.0,0.0,64.0,64.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,15625.0,15625.0,0.0,55.0,36.66666666666667,31.754264805429415,1008.3333333333333,0,0,0,1,1,0,0,0,1.0,55.0,0.0,55.0,0,0,0,0,0,0,1,0,1,55,-1,361,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-74.125.226.184-32669-443-6,131.202.240.242,32669,74.125.226.184,443,6,29/04/2015 07:22:00 PM,633,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3159.55766192733,633.0,0.0,633.0,633.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1579.778830963665,1579.778830963665,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16206,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-173.194.123.119-32632-443-6,173.194.123.119,443,131.202.240.242,32632,6,29/04/2015 07:22:28 PM,79,1,1,0.0,55.0,0.0,0.0,0.0,0.0,55.0,55.0,55.0,0.0,696202.5316455696,25316.455696202534,79.0,0.0,79.0,79.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,12658.227848101267,12658.227848101267,0.0,55.0,36.66666666666667,31.754264805429415,1008.3333333333333,0,0,0,1,1,0,0,0,1.0,55.0,0.0,55.0,0,0,0,0,0,0,1,0,1,55,-1,361,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-173.194.123.119-32632-443-6,131.202.240.242,32632,173.194.123.119,443,6,29/04/2015 07:22:28 PM,26107,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.60780633546558,26107.0,0.0,26107.0,26107.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,38.30390316773279,38.30390316773279,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16514,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-74.125.226.171-32624-443-6,74.125.226.171,443,131.202.240.242,32624,6,29/04/2015 07:22:28 PM,60,1,1,0.0,55.0,0.0,0.0,0.0,0.0,55.0,55.0,55.0,0.0,916666.6666666666,33333.333333333336,60.0,0.0,60.0,60.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,16666.666666666668,16666.666666666668,0.0,55.0,36.66666666666667,31.754264805429415,1008.3333333333333,0,0,0,1,1,0,0,0,1.0,55.0,0.0,55.0,0,0,0,0,0,0,1,0,1,55,-1,369,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-74.125.226.171-32624-443-6,131.202.240.242,32624,74.125.226.171,443,6,29/04/2015 07:22:28 PM,13412,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.1201908738443,13412.0,0.0,13412.0,13412.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,74.56009543692215,74.56009543692215,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16523,0,0,0,0,0,0,0,0,0,0,No Label
