Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-216.58.219.225-60318-443-6,131.202.240.150,60318,216.58.219.225,443,6,30/03/2015 04:02:23 PM,25695,0,4,0.0,106.0,0,0,0,0,60.0,0.0,26.5,31.12876483254676,4125.316209379257,155.6723097878965,8565.0,14809.90064112518,25666.0,12.0,0,0,0,0,0,25695.0,8565.0,14809.90064112518,25666.0,12.0,0,1,0,0,0,128,0.0,155.6723097878965,0.0,60.0,30.4,28.333725487482226,802.8,0,0,0,1,1,0,0,0,0.0,38.0,0.0,26.5,0,0,0,0,0,0,0,0,4,106,-1,341,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-216.58.219.225-60318-443-6,131.202.240.150,60318,216.58.219.225,443,6,30/03/2015 04:02:23 PM,258,2,1,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,46.0,46.0,0.0,298449.6124031008,11627.906976744187,129.0,132.93607486307093,223.0,35.0,35.0,35.0,0.0,35.0,35.0,0,0,0,0,0,0,1,0,0,64,32,7751.937984496125,3875.9689922480625,0.0,46.0,30.75,21.68524844220144,470.25,0,0,0,1,1,0,0,0,0.0,41.0,15.5,46.0,0,0,0,0,0,0,2,31,1,46,-1,237,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-216.58.219.237-59030-443-6,131.202.240.150,59030,216.58.219.237,443,6,30/03/2015 04:02:23 PM,26637,1,4,0.0,106.0,0.0,0.0,0.0,0.0,60.0,0.0,26.5,31.12876483254676,3979.4271126628373,187.70882606900176,6659.250000000001,12527.710335492276,25434.0,7.0,0,0,0,0,0,26637.0,8879.0,14347.538848178805,25434.0,53.0,0,1,0,0,32,128,37.54176521380035,150.1670608552014,0.0,60.0,25.333333333333332,28.218197438296208,796.2666666666667,0,0,0,1,1,0,0,0,4.0,30.4,0.0,26.5,0,0,0,0,0,0,1,0,4,106,-1,341,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-216.58.219.237-59030-443-6,131.202.240.150,59030,216.58.219.237,443,6,30/03/2015 04:02:23 PM,63,2,1,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,46.0,46.0,0.0,1222222.2222222222,47619.04761904762,31.5,36.062445840513924,57.0,6.0,6.0,6.0,0.0,6.0,6.0,0,0,0,0,0,0,1,0,0,64,32,31746.031746031746,15873.015873015873,0.0,46.0,30.75,21.68524844220144,470.25,0,0,0,1,1,0,0,0,0.0,41.0,15.5,46.0,0,0,0,0,0,0,2,31,1,46,-1,237,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-216.58.219.238-47703-443-6,131.202.240.150,47703,216.58.219.238,443,6,30/03/2015 04:02:24 PM,25508,0,4,0.0,106.0,0,0,0,0,60.0,0.0,26.5,31.12876483254676,4155.559040301082,156.81354869060686,8502.666666666668,14690.681717787413,25466.0,10.0,0,0,0,0,0,25508.0,8502.666666666668,14690.681717787413,25466.0,10.0,0,1,0,0,0,128,0.0,156.81354869060686,0.0,60.0,30.4,28.333725487482226,802.8,0,0,0,1,1,0,0,0,0.0,38.0,0.0,26.5,0,0,0,0,0,0,0,0,4,106,-1,503,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-216.58.219.227-54491-443-6,131.202.240.150,54491,216.58.219.227,443,6,30/03/2015 04:02:24 PM,25462,0,4,0.0,106.0,0,0,0,0,60.0,0.0,26.5,31.12876483254676,4163.066530516064,157.09685020815334,8487.333333333332,14691.832300068407,25452.0,5.0,0,0,0,0,0,25462.0,8487.333333333332,14691.832300068407,25452.0,5.0,0,1,0,0,0,128,0.0,157.09685020815334,0.0,60.0,30.4,28.333725487482226,802.8,0,0,0,1,1,0,0,0,0.0,38.0,0.0,26.5,0,0,0,0,0,0,0,0,4,106,-1,350,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-216.58.219.238-47703-443-6,131.202.240.150,47703,216.58.219.238,443,6,30/03/2015 04:02:24 PM,165,2,1,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,46.0,46.0,0.0,466666.6666666667,18181.81818181818,82.5,91.21677477306463,147.0,18.0,18.0,18.0,0.0,18.0,18.0,0,0,0,0,0,0,1,0,0,64,32,12121.212121212122,6060.606060606061,0.0,46.0,30.75,21.68524844220144,470.25,0,0,0,1,1,0,0,0,0.0,41.0,15.5,46.0,0,0,0,0,0,0,2,31,1,46,-1,245,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-216.58.219.227-54491-443-6,131.202.240.150,54491,216.58.219.227,443,6,30/03/2015 04:02:24 PM,106,2,1,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,46.0,46.0,0.0,726415.0943396227,28301.88679245283,53.0,56.568542494923804,93.0,13.0,13.0,13.0,0.0,13.0,13.0,0,0,0,0,0,0,1,0,0,64,32,18867.924528301886,9433.962264150943,0.0,46.0,30.75,21.68524844220144,470.25,0,0,0,1,1,0,0,0,0.0,41.0,15.5,46.0,0,0,0,0,0,0,2,31,1,46,-1,2125,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-216.58.219.230-44273-443-6,131.202.240.150,44273,216.58.219.230,443,6,30/03/2015 04:02:32 PM,25576,0,4,0.0,106.0,0,0,0,0,60.0,0.0,26.5,31.12876483254676,4144.510478573662,156.3966218329684,8525.333333333332,14742.063944147487,25548.0,6.0,0,0,0,0,0,25576.0,8525.333333333332,14742.063944147487,25548.0,6.0,0,1,0,0,0,128,0.0,156.3966218329684,0.0,60.0,30.4,28.333725487482226,802.8,0,0,0,1,1,0,0,0,0.0,38.0,0.0,26.5,0,0,0,0,0,0,0,0,4,106,-1,350,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-216.58.219.230-44273-443-6,131.202.240.150,44273,216.58.219.230,443,6,30/03/2015 04:02:32 PM,164,2,1,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,46.0,46.0,0.0,469512.1951219512,18292.682926829268,82.0,14.142135623730951,92.0,72.0,72.0,72.0,0.0,72.0,72.0,0,0,0,0,0,0,1,0,0,64,32,12195.121951219511,6097.560975609756,0.0,46.0,30.75,21.68524844220144,470.25,0,0,0,1,1,0,0,0,0.0,41.0,15.5,46.0,0,0,0,0,0,0,2,31,1,46,-1,245,1,0,0,0,0,0,0,0,0,0,No Label
