Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,17,29/04/2015 06:35:57 PM,54735237,14,1,700.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,13.702324884425002,0.27404649768850003,3909659.7857142854,1.0047860549275415E7,3.8451225E7,10880.0,5.398577E7,4152751.5384615385,1.0415207174222577E7,3.8451225E7,10880.0,0,0,0,0,0,0,0,0,0,112,8,0.25577673117593336,0.01826976651256667,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,53.333333333333336,50.0,50.0,0,0,0,0,0,0,14,700,1,50,-1,-1,14,0,4487598.0,4216462.179866197,7469087.0,1506109.0,2.2122293E7,2.309259709346803E7,3.8451225E7,5793361.0,No Label
131.202.240.87-224.0.0.252-63345-5355-17,131.202.240.87,63345,224.0.0.252,5355,17,29/04/2015 06:33:47 PM,411323,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,106.97189313507876,4.8623587788672165,411323.0,0.0,411323.0,411323.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.4311793894336082,2.4311793894336082,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.244.3-54247-53-17,131.202.240.87,54247,131.202.244.3,53,17,29/04/2015 06:35:04 PM,576,0,2,0.0,549.0,0,0,0,0,507.0,42.0,274.5,328.8046532517446,953125.0,3472.222222222222,576.0,0.0,576.0,576.0,0,0,0,0,0,576.0,576.0,0.0,576.0,576.0,0,0,0,0,0,16,0.0,3472.222222222222,42.0,507.0,197.0,268.46787517317597,72075.0,0,0,0,0,0,0,0,0,0.0,295.5,0.0,274.5,0,0,0,0,0,0,0,0,2,549,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-50114-5355-17,131.202.240.87,50114,224.0.0.252,5355,17,29/04/2015 06:32:47 PM,415742,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,105.83486874070938,4.8106758518504265,415742.0,0.0,415742.0,415742.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.4053379259252132,2.4053379259252132,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-62917-5355-17,131.202.240.87,62917,224.0.0.252,5355,17,29/04/2015 06:35:57 PM,411291,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,106.9802159541541,4.862737088825186,411291.0,0.0,411291.0,411291.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.431368544412593,2.431368544412593,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-54096-5355-17,131.202.240.87,54096,224.0.0.252,5355,17,29/04/2015 06:36:50 PM,448529,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,98.0984507133318,4.459020486969627,448529.0,0.0,448529.0,448529.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.2295102434848135,2.2295102434848135,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.244.3-62130-53-17,131.202.240.87,62130,131.202.244.3,53,17,29/04/2015 06:31:53 PM,1103,0,2,0.0,114.0,0,0,0,0,82.0,32.0,57.0,35.35533905932738,103354.48776065276,1813.236627379873,1103.0,0.0,1103.0,1103.0,0,0,0,0,0,1103.0,1103.0,0.0,1103.0,1103.0,0,0,0,0,0,16,0.0,1813.236627379873,32.0,82.0,48.66666666666667,28.867513459481287,833.3333333333334,0,0,0,0,0,0,0,0,0.0,73.0,0.0,57.0,0,0,0,0,0,0,0,0,2,114,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-55151-5355-17,131.202.240.87,55151,224.0.0.252,5355,17,29/04/2015 06:32:47 PM,416089,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,105.74660709607801,4.806663958912637,416089.0,0.0,416089.0,416089.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.4033319794563184,2.4033319794563184,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-61689-5355-17,131.202.240.87,61689,224.0.0.252,5355,17,29/04/2015 06:33:47 PM,411147,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,107.01768467239212,4.86444021238146,411147.0,0.0,411147.0,411147.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.43222010619073,2.43222010619073,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-60842-5355-17,131.202.240.87,60842,224.0.0.252,5355,17,29/04/2015 06:36:05 PM,415521,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,105.89115832894126,4.81323446949733,415521.0,0.0,415521.0,415521.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.406617234748665,2.406617234748665,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-178.237.19.228-42534-443-6,131.202.240.87,42534,178.237.19.228,443,6,29/04/2015 06:35:08 PM,177771,0,2,0.0,6.0,0,0,0,0,6.0,0.0,3.0,4.242640687119285,33.75128676780802,11.250428922602673,177771.0,0.0,177771.0,177771.0,0,0,0,0,0,177771.0,177771.0,0.0,177771.0,177771.0,0,1,0,0,0,40,0.0,11.250428922602673,0.0,6.0,4.0,3.4641016151377544,12.0,0,0,0,1,1,0,0,0,0.0,6.0,0.0,3.0,0,0,0,0,0,0,0,0,2,6,-1,16384,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-59398-5355-17,131.202.240.87,59398,224.0.0.252,5355,17,29/04/2015 06:26:08 PM,411324,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,106.97163306784918,4.862346957629509,411324.0,0.0,411324.0,411324.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.4311734788147543,2.4311734788147543,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-62528-5355-17,131.202.240.87,62528,224.0.0.252,5355,17,29/04/2015 06:36:50 PM,449065,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,97.98136127286696,4.453698239675771,449065.0,0.0,449065.0,449065.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.2268491198378855,2.2268491198378855,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-95.129.128.131-64587-80-6,95.129.128.131,80,131.202.240.87,64587,6,29/04/2015 06:30:20 PM,59,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,33898.30508474576,59.0,0.0,59.0,59.0,0,0,0,0,0,59.0,59.0,0.0,59.0,59.0,0,0,0,0,0,40,0.0,33898.30508474576,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,16467,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-65.55.163.222-64591-443-6,65.55.163.222,443,131.202.240.87,64591,6,29/04/2015 06:35:04 PM,57,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,35087.71929824561,57.0,0.0,57.0,57.0,0,0,0,0,0,57.0,57.0,0.0,57.0,57.0,0,0,0,0,0,40,0.0,35087.71929824561,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,16537,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-50351-5355-17,131.202.240.87,50351,224.0.0.252,5355,17,29/04/2015 06:27:42 PM,411423,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,106.94589267007436,4.861176939548835,411423.0,0.0,411423.0,411423.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.4305884697744173,2.4305884697744173,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-56738-5355-17,131.202.240.87,56738,224.0.0.252,5355,17,29/04/2015 06:28:30 PM,412215,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,106.74041458947394,4.85183702679427,412215.0,0.0,412215.0,412215.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.425918513397135,2.425918513397135,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-57947-5355-17,131.202.240.87,57947,224.0.0.252,5355,17,29/04/2015 06:27:42 PM,411040,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,107.04554301284546,4.865706500583885,411040.0,0.0,411040.0,411040.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.4328532502919424,2.4328532502919424,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.244.3-13970-53-17,131.202.240.87,13970,131.202.244.3,53,17,29/04/2015 06:35:27 PM,44666,0,2,0.0,512.0,0,0,0,0,479.0,33.0,256.0,315.3696244092002,11462.85765459186,44.776787713249455,44666.0,0.0,44666.0,44666.0,0,0,0,0,0,44666.0,44666.0,0.0,44666.0,44666.0,0,0,0,0,0,16,0.0,44.776787713249455,33.0,479.0,181.66666666666666,257.49822005857305,66305.33333333333,0,0,0,0,0,0,0,0,0.0,272.5,0.0,256.0,0,0,0,0,0,0,0,0,2,512,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
