Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-64.233.171.95-35273-443-6,64.233.171.95,443,131.202.240.150,35273,6,01/04/2015 07:48:39 PM,21,1,1,0.0,63.0,0.0,0.0,0.0,0.0,63.0,63.0,63.0,0.0,3000000.0,95238.09523809524,21.0,0.0,21.0,21.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,47619.04761904762,47619.04761904762,0.0,63.0,42.0,36.373066958946424,1323.0,0,0,0,1,1,0,0,0,1.0,63.0,0.0,63.0,0,0,0,0,0,0,1,0,1,63,-1,366,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-23.203.88.184-33049-443-6,131.202.240.150,33049,23.203.88.184,443,6,01/04/2015 07:48:40 PM,36494,1,3,0.0,53.0,0.0,0.0,0.0,0.0,53.0,0.0,17.666666666666664,30.599564267050166,1452.293527703184,109.60705869457993,12164.666666666668,21030.85862092495,36449.0,3.0,0,0,0,0,0,36494.0,18247.0,25741.515262315075,36449.0,45.0,0,0,0,0,20,96,27.401764673644983,82.20529402093496,0.0,53.0,10.6,23.70232056149777,561.8,1,0,0,0,1,0,0,0,3.0,13.25,0.0,17.666666666666668,0,0,0,0,0,0,1,0,3,53,-1,1320,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-23.203.88.184-33049-443-6,131.202.240.150,33049,23.203.88.184,443,6,01/04/2015 07:48:40 PM,73834,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,27.08779153235637,73834.0,0.0,73834.0,73834.0,0,0,0,0,0,73834.0,73834.0,0.0,73834.0,73834.0,0,0,0,0,0,52,0.0,27.08779153235637,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,1320,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-23.203.88.184-33049-443-6,131.202.240.150,33049,23.203.88.184,443,6,01/04/2015 07:48:40 PM,236828,0,2,0.0,53.0,0,0,0,0,53.0,0.0,26.5,37.476659402887016,223.79110578141098,8.444947387977772,236828.0,0.0,236828.0,236828.0,0,0,0,0,0,236828.0,236828.0,0.0,236828.0,236828.0,0,0,0,0,0,52,0.0,8.444947387977772,0.0,53.0,17.666666666666668,30.599564267050166,936.3333333333334,0,0,1,0,0,0,0,0,0.0,26.5,0.0,26.5,0,0,0,0,0,0,0,0,2,53,-1,1320,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-23.203.88.184-33049-443-6,131.202.240.150,33049,23.203.88.184,443,6,01/04/2015 07:48:40 PM,474846,0,2,0.0,53.0,0,0,0,0,53.0,0.0,26.5,37.476659402887016,111.61513416981506,4.211891855464719,474846.0,0.0,474846.0,474846.0,0,0,0,0,0,474846.0,474846.0,0.0,474846.0,474846.0,0,0,0,0,0,52,0.0,4.211891855464719,0.0,53.0,17.666666666666668,30.599564267050166,936.3333333333334,0,0,1,0,0,0,0,0,0.0,26.5,0.0,26.5,0,0,0,0,0,0,0,0,2,53,-1,1320,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-23.21.110.135-34498-443-6,131.202.240.150,34498,23.21.110.135,443,6,01/04/2015 07:48:38 PM,19186384,1,4,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,7.75,15.500000000000002,1.6157291545921315,0.260601476547118,4796596.0,6647652.521325102,1.4127838E7,24.0,0,0,0,0,0,1.9186384E7,6395461.333333333,7137844.489144417,1.4127838E7,58122.0,0,0,0,0,32,128,0.0521202953094236,0.2084811812376944,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,0,0,0,0,1,0,0,0,4.0,6.2,0.0,7.75,0,0,0,0,0,0,1,0,4,31,-1,166,0,0,58122.0,0.0,58122.0,58122.0,1.4127838E7,0.0,1.4127838E7,1.4127838E7,No Label
131.202.240.150-23.21.110.135-34525-443-6,131.202.240.150,34525,23.21.110.135,443,6,01/04/2015 07:48:40 PM,19017968,1,4,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,7.75,15.500000000000002,1.6300374466925174,0.2629092655955673,4754492.0,6565221.7475967,1.3952283E7,10.0,0,0,0,0,0,1.9017968E7,6339322.666666667,7041528.633613041,1.3952283E7,59939.0,0,0,0,0,32,128,0.05258185311911346,0.21032741247645384,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,0,0,0,0,1,0,0,0,4.0,6.2,0.0,7.75,0,0,0,0,0,0,1,0,4,31,-1,154,0,0,59939.0,0.0,59939.0,59939.0,1.3952283E7,0.0,1.3952283E7,1.3952283E7,No Label
131.202.240.150-23.21.110.135-34498-443-6,131.202.240.150,34498,23.21.110.135,443,6,01/04/2015 07:48:57 PM,2634399,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7591864406264958,2634399.0,0.0,2634399.0,2634399.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.3795932203132479,0.3795932203132479,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1910,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-23.21.110.135-34525-443-6,131.202.240.150,34525,23.21.110.135,443,6,01/04/2015 07:48:59 PM,626587,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1918951398608653,626587.0,0.0,626587.0,626587.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,1.5959475699304326,1.5959475699304326,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,349,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-23.21.251.225-33968-443-6,131.202.240.150,33968,23.21.251.225,443,6,01/04/2015 07:48:45 PM,20767188,1,4,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,7.75,15.500000000000002,1.4927394118067405,0.24076442125915168,5191797.0,7392798.012327809,1.5708419E7,27.0,0,0,0,0,0,2.0767188E7,6922396.0,8000655.682043629,1.5708419E7,56564.0,0,0,0,0,32,128,0.048152884251830334,0.19261153700732134,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,0,0,0,0,1,0,0,0,4.0,6.2,0.0,7.75,0,0,0,0,0,0,1,0,4,31,-1,136,0,0,56564.0,0.0,56564.0,56564.0,1.5708419E7,0.0,1.5708419E7,1.5708419E7,No Label
