Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-131.202.244.5-44107-53-17,131.202.240.150,44107,131.202.244.5,53,17,02/04/2015 02:47:34 PM,393,0,2,0.0,200.0,0,0,0,0,164.0,36.0,100.0,90.50966799187809,508905.8524173028,5089.058524173028,393.0,0.0,393.0,393.0,0,0,0,0,0,393.0,393.0,0.0,393.0,393.0,0,0,0,0,0,16,0.0,5089.058524173028,36.0,164.0,78.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,0.0,118.0,0.0,100.0,0,0,0,0,0,0,0,0,2,200,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.240.86-22-1462-6,131.202.240.150,22,131.202.240.86,1462,6,02/04/2015 02:49:16 PM,197,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,10152.284263959391,197.0,0.0,197.0,197.0,0,0,0,0,0,197.0,197.0,0.0,197.0,197.0,0,0,0,0,0,40,0.0,10152.284263959391,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,32766,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.5-10421-53-17,131.202.240.150,10421,131.202.244.5,53,17,02/04/2015 02:47:34 PM,377,0,2,0.0,200.0,0,0,0,0,164.0,36.0,100.0,90.50966799187809,530503.9787798409,5305.039787798409,377.0,0.0,377.0,377.0,0,0,0,0,0,377.0,377.0,0.0,377.0,377.0,0,0,0,0,0,16,0.0,5305.039787798409,36.0,164.0,78.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,0.0,118.0,0.0,100.0,0,0,0,0,0,0,0,0,2,200,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.5-27652-53-17,131.202.240.150,27652,131.202.244.5,53,17,02/04/2015 02:49:16 PM,271,0,2,0.0,200.0,0,0,0,0,164.0,36.0,100.0,90.50966799187809,738007.3800738008,7380.073800738008,271.0,0.0,271.0,271.0,0,0,0,0,0,271.0,271.0,0.0,271.0,271.0,0,0,0,0,0,16,0.0,7380.073800738008,36.0,164.0,78.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,0.0,118.0,0.0,100.0,0,0,0,0,0,0,0,0,2,200,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.6.3-50989-53-17,131.202.240.150,50989,131.202.6.3,53,17,02/04/2015 02:49:16 PM,1263,0,2,0.0,200.0,0,0,0,0,164.0,36.0,100.0,90.50966799187809,158353.12747426762,1583.5312747426763,1263.0,0.0,1263.0,1263.0,0,0,0,0,0,1263.0,1263.0,0.0,1263.0,1263.0,0,0,0,0,0,16,0.0,1583.5312747426763,36.0,164.0,78.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,0.0,118.0,0.0,100.0,0,0,0,0,0,0,0,0,2,200,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.6.3-48400-53-17,131.202.240.150,48400,131.202.6.3,53,17,02/04/2015 02:47:25 PM,1108,0,2,0.0,234.0,0,0,0,0,189.0,45.0,117.0,101.82337649086284,211191.3357400722,1805.0541516245487,1108.0,0.0,1108.0,1108.0,0,0,0,0,0,1108.0,1108.0,0.0,1108.0,1108.0,0,0,0,0,0,16,0.0,1805.0541516245487,45.0,189.0,93.0,83.13843876330611,6912.0,0,0,0,0,0,0,0,0,0.0,139.5,0.0,117.0,0,0,0,0,0,0,0,0,2,234,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.243.255-138-138-17,131.202.240.150,138,131.202.243.255,138,17,02/04/2015 02:47:33 PM,53996824,3,1,573.0,191.0,191.0,191.0,191.0,0.0,191.0,191.0,191.0,0.0,14.148980317805359,0.07407843098327413,1.7998941333333332E7,2.784487832987051E7,5.0151265E7,1831613.0,5.1982878E7,2.5991439E7,3.4167153593774125E7,5.0151265E7,1831613.0,0,0,0,0,0,0,0,0,0,24,8,0.0555588232374556,0.018519607745818532,191.0,191.0,191.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,238.75,191.0,191.0,0,0,0,0,0,0,3,573,1,191,-1,-1,3,0,2013946.0,0.0,2013946.0,2013946.0,5.0151265E7,0.0,5.0151265E7,5.0151265E7,No Label
131.202.240.150-131.202.244.5-48400-53-17,131.202.240.150,48400,131.202.244.5,53,17,02/04/2015 02:47:25 PM,421,0,2,0.0,234.0,0,0,0,0,189.0,45.0,117.0,101.82337649086284,555819.4774346794,4750.593824228029,421.0,0.0,421.0,421.0,0,0,0,0,0,421.0,421.0,0.0,421.0,421.0,0,0,0,0,0,16,0.0,4750.593824228029,45.0,189.0,93.0,83.13843876330611,6912.0,0,0,0,0,0,0,0,0,0.0,139.5,0.0,117.0,0,0,0,0,0,0,0,0,2,234,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.5-36648-53-17,131.202.240.150,36648,131.202.244.5,53,17,02/04/2015 02:47:34 PM,377,0,2,0.0,200.0,0,0,0,0,164.0,36.0,100.0,90.50966799187809,530503.9787798409,5305.039787798409,377.0,0.0,377.0,377.0,0,0,0,0,0,377.0,377.0,0.0,377.0,377.0,0,0,0,0,0,16,0.0,5305.039787798409,36.0,164.0,78.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,0.0,118.0,0.0,100.0,0,0,0,0,0,0,0,0,2,200,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.3-50989-53-17,131.202.240.150,50989,131.202.244.3,53,17,02/04/2015 02:49:16 PM,411,0,2,0.0,200.0,0,0,0,0,164.0,36.0,100.0,90.50966799187809,486618.00486618,4866.1800486618,411.0,0.0,411.0,411.0,0,0,0,0,0,411.0,411.0,0.0,411.0,411.0,0,0,0,0,0,16,0.0,4866.1800486618,36.0,164.0,78.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,0.0,118.0,0.0,100.0,0,0,0,0,0,0,0,0,2,200,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
