Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.242-224.0.0.252-57601-5355-17,131.202.240.242,57601,224.0.0.252,5355,17,04/05/2015 08:14:26 PM,410223,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,107.25873488322205,4.875397040146457,410223.0,0.0,410223.0,410223.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.4376985200732286,2.4376985200732286,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-224.0.0.252-50540-5355-17,131.202.240.242,50540,224.0.0.252,5355,17,04/05/2015 08:15:45 PM,409676,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,107.40194690438298,4.881906677471954,409676.0,0.0,409676.0,409676.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.440953338735977,2.440953338735977,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.244.3-58925-53-17,131.202.240.242,58925,131.202.244.3,53,17,04/05/2015 08:14:23 PM,530,0,2,0.0,240.0,0,0,0,0,194.0,46.0,120.0,104.65180361560904,452830.1886792453,3773.5849056603774,530.0,0.0,530.0,530.0,0,0,0,0,0,530.0,530.0,0.0,530.0,530.0,0,0,0,0,0,16,0.0,3773.5849056603774,46.0,194.0,95.33333333333334,85.44783984006462,7301.333333333334,0,0,0,0,0,0,0,0,0.0,143.0,0.0,120.0,0,0,0,0,0,0,0,0,2,240,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.45-64918-161-17,131.202.240.242,64918,131.202.240.45,161,17,04/05/2015 08:14:39 PM,60029855,476,478,45810.0,56026.0,118.0,43.0,96.23949579831933,30.219780816335366,180.0,46.0,117.20920502092056,44.02074695492354,1696.4225550769697,15.892092359710015,62990.4039874082,1093470.8751513606,2.9970314E7,44.0,6.0000817E7,126317.50947368414,1549005.50206575,3.0000389E7,44.0,6.0029855E7,125848.75262054506,1544400.378866092,2.9977898E7,194.0,0,0,0,0,3808,3824,7.929387802119463,7.962704557590553,43.0,180.0,106.71727748691099,39.17083030085729,1534.3539464585597,0,0,0,0,0,0,0,0,1.0,106.82914046121593,96.23949579831933,117.2092050209205,0,0,0,0,0,0,476,45810,478,56026,-1,-1,476,0,7383948.0,1.0399811168067332E7,1.4737725E7,30171.0,2.2616407E7,1.039999501583044E7,2.9970314E7,1.52625E7,No Label
131.202.240.242-224.0.0.252-65427-5355-17,131.202.240.242,65427,224.0.0.252,5355,17,04/05/2015 08:15:47 PM,410894,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,107.08357873320126,4.867435396963694,410894.0,0.0,410894.0,410894.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.433717698481847,2.433717698481847,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-22-38048-6,131.202.240.87,38048,131.202.240.242,22,6,04/05/2015 08:15:24 PM,1100,2,3,43.0,0.0,43.0,0.0,21.5,30.405591591021544,0.0,0.0,0.0,0.0,39090.90909090909,4545.454545454545,275.0,240.17077257651482,602.0,49.0,49.0,49.0,0.0,49.0,49.0,1100.0,550.0,560.0285706997456,946.0,154.0,0,0,0,0,40,84,1818.181818181818,2727.272727272727,0.0,43.0,7.166666666666666,17.55467648994611,308.1666666666667,0,1,0,0,0,0,0,0,1.0,8.6,21.5,0.0,0,0,0,0,0,0,2,43,3,0,-1,0,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-22-38049-6,131.202.240.87,38049,131.202.240.242,22,6,04/05/2015 08:15:29 PM,1038,2,3,43.0,0.0,43.0,0.0,21.5,30.405591591021544,0.0,0.0,0.0,0.0,41425.81888246628,4816.955684007707,259.5,138.2497739600322,465.0,175.0,217.0,217.0,0.0,217.0,217.0,1038.0,519.0,478.0041840821061,857.0,181.0,0,0,0,0,40,84,1926.7822736030828,2890.173410404624,0.0,43.0,7.166666666666666,17.55467648994611,308.1666666666667,0,1,0,0,0,0,0,0,1.0,8.6,21.5,0.0,0,0,0,0,0,0,2,43,3,0,-1,0,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-22-38046-6,131.202.240.87,38046,131.202.240.242,22,6,04/05/2015 08:15:14 PM,1581,2,3,43.0,0.0,43.0,0.0,21.5,30.405591591021544,0.0,0.0,0.0,0.0,27197.975964579382,3162.5553447185325,395.25,236.81409727181924,671.0,186.0,210.0,210.0,0.0,210.0,210.0,1581.0,790.5,854.8920984545359,1395.0,186.0,0,0,0,0,40,84,1265.022137887413,1897.5332068311195,0.0,43.0,7.166666666666666,17.55467648994611,308.1666666666667,0,1,0,0,0,0,0,0,1.0,8.6,21.5,0.0,0,0,0,0,0,0,2,43,3,0,-1,0,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.243.255-137-137-17,131.202.240.242,137,131.202.243.255,137,17,04/05/2015 08:14:18 PM,91649134,15,1,750.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,8.728942272384156,0.17457884544768312,6109942.266666666,1.4677749320185136E7,5.5579211E7,6393.0,8.332535E7,5951810.714285714,1.5218554914810829E7,5.5579211E7,6393.0,0,0,0,0,0,0,0,0,0,120,8,0.16366766760720292,0.010911177840480195,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,53.125,50.0,50.0,0,0,0,0,0,0,15,750,1,50,-1,-1,15,0,1501913.0,1484.9242404917497,1502963.0,1500863.0,2.8068804333333332E7,2.4566130422138575E7,5.5579211E7,8323784.0,No Label
131.202.240.242-131.202.240.87-22-38047-6,131.202.240.87,38047,131.202.240.242,22,6,04/05/2015 08:15:19 PM,2630,2,3,43.0,0.0,43.0,0.0,21.5,30.405591591021544,0.0,0.0,0.0,0.0,16349.80988593156,1901.1406844106464,657.5,805.3076016860473,1821.0,61.0,61.0,61.0,0.0,61.0,61.0,2630.0,1315.0,1605.1323932934629,2450.0,180.0,0,0,0,0,40,84,760.4562737642585,1140.684410646388,0.0,43.0,7.166666666666666,17.55467648994611,308.1666666666667,0,1,0,0,0,0,0,0,1.0,8.6,21.5,0.0,0,0,0,0,0,0,2,43,3,0,-1,0,1,0,0,0,0,0,0,0,0,0,No Label
