Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-131.202.240.86-40273-49624-17,131.202.240.86,49624,131.202.240.150,40273,17,31/03/2015 08:21:12 PM,119992843,5673,5657,534042.0,616288.0,205.0,3.0,94.13749338974077,13.96309584907331,225.0,3.0,108.94254905426884,20.337778513720895,9586.655097421102,94.42229816990002,10591.65354400216,69372.06704316527,7362206.0,9.0,1.19751336E8,21112.717912552856,98592.47648266816,7431896.0,30.0,1.19987291E8,21214.160360678896,98059.15122367896,7362206.0,77.0,0,0,0,0,45384,45256,47.277819727964946,47.14447844193508,3.0,225.0,101.52466684317356,18.951463661153724,359.1579749000301,0,0,0,0,0,0,0,0,0.0,101.53362753751104,94.13749338974088,108.94254905426905,0,0,0,0,0,0,5673,534042,5657,616288,-1,-1,5673,0,753647.0,0.0,753647.0,753647.0,7362206.0,0.0,7362206.0,7362206.0,No Label
131.202.240.150-131.202.240.86-49876-49624-6,131.202.240.150,49876,131.202.240.86,49624,6,31/03/2015 08:21:12 PM,7787921,9,8,1093.0,1457.0,819.0,0.0,121.44444444444447,267.5416374656061,861.0,0.0,182.12500000000003,284.7226407275283,327.4301318670284,2.18286754578019,486745.0625,1824007.5022351367,7324056.0,8.0,7591504.0,948937.9999999999,2576177.0326885534,7324135.0,75.0,7787921.0,1112560.142857143,2757440.2244215216,7361963.0,82.0,0,1,0,0,288,256,1.1556357595306885,1.027231786249501,0.0,861.0,143.61111111111114,262.1385217307128,68716.60457516338,0,0,0,1,1,0,0,0,0.0,152.05882352941177,121.44444444444444,182.125,0,0,0,0,0,0,9,1093,8,1457,-1,259,4,0,124463.0,0.0,124463.0,124463.0,7324056.0,0.0,7324056.0,7324056.0,No Label
131.202.240.150-157.55.56.157-48885-40008-6,131.202.240.150,48885,157.55.56.157,40008,6,31/03/2015 08:21:21 PM,60086118,4,5,1628.0,10.0,815.0,0.0,407.0,469.9638283953351,4.0,0.0,2.0,1.9999999999999998,27.260872469744175,0.14978501357002294,7510764.749999999,2.117188248350853E7,5.9908442E7,36.0,6.0000527E7,2.0000175666666664E7,3.4561572465678155E7,5.9908442E7,46009.0,6.0086057E7,1.502151425E7,2.995533947143071E7,5.9954493E7,154.0,0,1,0,0,128,160,0.06657111714223242,0.08321389642779052,0.0,815.0,164.0,342.58397186350936,117363.77777777778,0,0,0,1,1,0,0,0,1.0,182.22222222222223,407.0,2.0,0,0,0,0,0,0,4,1628,5,10,-1,83,2,0,131600.0,0.0,131600.0,131600.0,5.9908442E7,0.0,5.9908442E7,5.9908442E7,No Label
131.202.240.150-64.233.171.188-39508-5228-6,131.202.240.150,39508,64.233.171.188,5228,6,31/03/2015 08:21:10 PM,90150851,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06655511216416582,1.80301702E7,2.4635830157519042E7,4.5017388E7,38605.0,4.5056009E7,4.5056009E7,0.0,4.5056009E7,4.5056009E7,9.0150851E7,3.0050283666666668E7,2.5990876135981668E7,4.5056273E7,38605.0,0,0,0,0,64,128,0.02218503738805527,0.04437007477611054,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,4,0,-1,366,0,0,38613.0,11.313708498984761,38621.0,38605.0,4.501737E7,25.45584412271571,4.5017388E7,4.5017352E7,No Label
131.202.240.150-216.58.219.238-51327-443-6,131.202.240.150,51327,216.58.219.238,443,6,31/03/2015 08:21:11 PM,90126350,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06657320528347148,1.802527E7,2.4646856360786837E7,4.503053E7,25399.0,4.5056019E7,4.5056019E7,0.0,4.5056019E7,4.5056019E7,9.012635E7,3.0042116666666668E7,2.5995240830450185E7,4.5056896E7,25399.0,0,0,0,0,64,128,0.022191068427823826,0.04438213685564765,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,4,0,-1,350,0,0,25444.0,63.63961030678928,25489.0,25399.0,4.5024548E7,8459.825530115855,4.503053E7,4.5018566E7,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,31/03/2015 08:21:10 PM,114999427,19,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17391391002322126,6052601.421052631,7506226.207637581,2.2999095E7,23.0,1.14999389E8,6388854.944444445,7575164.739432904,2.2999095E7,23.0,0,0,0,0,0,0,0,0,0,0,0,0.16521821452206017,0.008695695501161062,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,19,0,1,0,-1,-1,0,0,108.55555555555556,110.06147272219184,263.0,23.0,1.277760211111111E7,5486613.567717852,2.2999095E7,5018708.0,No Label
131.202.240.150-134.170.19.108-33309-443-6,134.170.19.108,443,131.202.240.150,33309,6,31/03/2015 08:21:15 PM,18875551,2,5,1226.0,1114.0,677.0,549.0,613.0,90.50966799187809,645.0,0.0,222.8,311.3626502970451,123.96989099814887,0.3708501012765137,3145925.1666666665,7582507.329876271,1.8622275E7,14.0,156.0,156.0,0.0,156.0,156.0,1.8875551E7,4718887.75,9269692.399761759,1.8622275E7,61.0,0,1,0,0,64,160,0.10595717179328963,0.26489292948322407,0.0,677.0,351.125,299.8492180603921,89909.55357142857,0,0,0,1,1,0,0,0,2.0,401.2857142857143,613.0,222.8,0,0,0,0,0,0,2,1226,5,1114,-1,65331,2,0,61.0,0.0,61.0,61.0,1.8622275E7,0.0,1.8622275E7,1.8622275E7,No Label
131.202.240.150-216.58.219.238-51327-443-6,131.202.240.150,51327,216.58.219.238,443,6,31/03/2015 08:23:26 PM,59780843,1,5,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,12.6,28.17445651649735,1.0538493075448936,0.1003666007185613,1.19561686E7,1.9551480409888666E7,4.50305E7,73.0,0,0,0,0,0,5.9780843E7,1.494521075E7,2.1234591906874567E7,4.5056811E7,73.0,0,0,0,0,32,160,0.016727766786426883,0.08363883393213442,0.0,63.0,9.0,23.811761799581316,567.0,0,0,0,0,1,0,0,0,5.0,10.5,0.0,12.6,0,0,0,0,0,0,1,0,5,63,-1,350,0,0,25915.5,559.3214639185591,26311.0,25520.0,2.98644695E7,2.144800602046401E7,4.50305E7,1.4698439E7,No Label
131.202.240.150-131.202.240.86-40273-49624-17,131.202.240.86,49624,131.202.240.150,40273,17,31/03/2015 08:23:12 PM,119997186,6077,6077,576975.0,648890.0,184.0,3.0,94.94405134112236,17.273260631011635,166.0,3.0,106.77801546815873,20.486783191309957,10215.781226736433,101.28570848319727,9873.873611453942,3200.3303038347085,20269.0,3.0,1.19979715E8,19746.496872942782,1874.9480031831342,30157.0,47.0,1.19997186E8,19749.372284397603,2407.6226302846717,28447.0,145.0,0,0,0,0,48616,48616,50.642854241598634,50.642854241598634,3.0,184.0,100.8623611682435,19.84968345779267,394.0099333745679,0,0,0,0,0,0,0,0,1.0,100.870659865065,94.94405134112226,106.77801546815863,0,0,0,0,0,0,6077,576975,6077,648890,-1,-1,6077,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.240.86-49876-49624-6,131.202.240.150,49876,131.202.240.86,49624,6,31/03/2015 08:23:20 PM,339712,2,2,2.0,2.0,2.0,0.0,1.0,1.4142135623730951,2.0,0.0,1.0,1.4142135623730951,11.774679728711378,11.774679728711378,113237.33333333334,102392.35308524428,199425.0,51.0,140236.0,140236.0,0.0,140236.0,140236.0,339712.0,339712.0,0.0,339712.0,339712.0,0,1,0,0,64,64,5.887339864355689,5.887339864355689,0.0,2.0,1.2,1.0954451150103321,1.1999999999999997,0,0,0,1,1,0,0,0,1.0,1.5,1.0,1.0,0,0,0,0,0,0,2,2,2,2,-1,259,1,0,0,0,0,0,0,0,0,0,No Label
