Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-182.254.219.114-0-0-0,182.254.219.114,0,131.202.240.150,0,0,31/03/2015 09:00:03 PM,85,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23529.41176470588,85.0,0.0,85.0,85.0,0,0,0,0,0,85.0,85.0,0.0,85.0,85.0,0,0,0,0,0,0,0.0,23529.41176470588,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.240.86-40273-49624-17,131.202.240.86,49624,131.202.240.150,40273,17,31/03/2015 09:03:16 PM,23262002,5640,5623,153639.0,7685516.0,53.0,3.0,27.240957446808473,1.5868507174481568,1378.0,3.0,1366.7999288635945,67.10540342605753,336993.9956156826,484.18016643623366,2065.530278813709,38443.36160478389,3157489.0,-1.0,2.3261603E7,4125.129100904416,55922.99129943385,3159229.0,1.0,2.3262002E7,4137.67378157239,55456.41287823959,3257324.0,26.0,0,0,0,0,45120,44984,242.455485989555,241.7246804466787,3.0,1378.0,695.9508167613652,671.4844434436151,450891.35778678145,0,0,0,0,0,0,0,0,0.0,696.0126076533783,27.240957446808512,1366.799928863596,0,0,0,0,0,0,5640,153639,5623,7685516,-1,-1,5640,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.5-50301-53-17,131.202.240.150,50301,131.202.244.5,53,17,31/03/2015 08:57:41 PM,428,0,2,0.0,250.0,0,0,0,0,213.0,37.0,125.0,124.45079348883236,584112.1495327103,4672.897196261682,428.0,0.0,428.0,428.0,0,0,0,0,0,428.0,428.0,0.0,428.0,428.0,0,0,0,0,0,16,0.0,4672.897196261682,37.0,213.0,95.66666666666666,101.61364737737412,10325.333333333332,0,0,0,0,0,0,0,0,0.0,143.5,0.0,125.0,0,0,0,0,0,0,0,0,2,250,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.6.3-50301-53-17,131.202.240.150,50301,131.202.6.3,53,17,31/03/2015 08:57:41 PM,1424,0,2,0.0,410.0,0,0,0,0,373.0,37.0,205.0,237.58787847867995,287921.34831460676,1404.4943820224719,1424.0,0.0,1424.0,1424.0,0,0,0,0,0,1424.0,1424.0,0.0,1424.0,1424.0,0,0,0,0,0,16,0.0,1404.4943820224719,37.0,373.0,149.0,193.98969044771425,37632.0,0,0,0,0,0,0,0,0,0.0,223.5,0.0,205.0,0,0,0,0,0,0,0,0,2,410,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-216.58.219.227-58412-443-6,131.202.240.150,58412,216.58.219.227,443,6,31/03/2015 08:58:31 PM,25661,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,77.93928529675382,25661.0,0.0,25661.0,25661.0,0,0,0,0,0,25661.0,25661.0,0.0,25661.0,25661.0,0,0,0,0,0,64,0.0,77.93928529675382,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,350,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-119.81.4.50-0-0-0,119.81.4.50,0,131.202.240.150,0,0,31/03/2015 09:00:00 PM,23056444,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17348729058132295,7685481.333333334,1.3311539360904219E7,2.3056323E7,36.0,0,0,0,0,0,2.3056444E7,1.1528222E7,1.6303247694295084E7,2.3056359E7,85.0,0,0,0,0,0,0,0.04337182264533074,0.1301154679359922,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,-1,0,0,85.0,0.0,85.0,85.0,2.3056323E7,0.0,2.3056323E7,2.3056323E7,No Label
131.202.240.150-131.202.244.3-50301-53-17,131.202.240.150,50301,131.202.244.3,53,17,31/03/2015 08:57:41 PM,520,0,2,0.0,410.0,0,0,0,0,373.0,37.0,205.0,237.58787847867995,788461.5384615385,3846.1538461538466,520.0,0.0,520.0,520.0,0,0,0,0,0,520.0,520.0,0.0,520.0,520.0,0,0,0,0,0,16,0.0,3846.1538461538466,37.0,373.0,149.0,193.98969044771425,37632.0,0,0,0,0,0,0,0,0,0.0,223.5,0.0,205.0,0,0,0,0,0,0,0,0,2,410,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.243.255-138-138-17,131.202.240.150,138,131.202.243.255,138,17,31/03/2015 09:00:16 PM,113520412,3,1,573.0,232.0,191.0,191.0,191.0,0.0,232.0,232.0,232.0,0.0,7.091235715388349,0.03523595386528372,3.784013733333333E7,4.074426222370798E7,8.2159592E7,2008016.0,3.136082E7,1.568041E7,1.933568502490853E7,2.9352804E7,2008016.0,0,0,0,0,0,0,0,0,0,24,8,0.02642696539896279,0.00880898846632093,191.0,232.0,207.4,22.456624857711812,504.30000000000007,0,0,0,0,0,0,0,0,0.0,259.25,191.0,232.0,0,0,0,0,0,0,3,573,1,232,-1,-1,3,0,0,0,0,0,5.5756198E7,3.73400378874804E7,8.2159592E7,2.9352804E7,No Label
131.202.240.150-203.195.225.12-0-0-0,203.195.225.12,0,131.202.240.150,0,0,31/03/2015 08:57:41 PM,87728621,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04559515417437144,2.9242873666666664E7,5.0649998323742226E7,8.7728454E7,83.0,0,0,0,0,0,8.7728621E7,4.38643105E7,6.203338401930532E7,8.7728537E7,84.0,0,0,0,0,0,0,0.01139878854359286,0.03419636563077858,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,-1,0,0,84.0,0.0,84.0,84.0,8.7728454E7,0.0,8.7728454E7,8.7728454E7,No Label
131.202.240.150-216.58.219.238-51630-443-6,131.202.240.150,51630,216.58.219.238,443,6,31/03/2015 09:01:41 PM,25630,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,78.03355442840422,25630.0,0.0,25630.0,25630.0,0,0,0,0,0,25630.0,25630.0,0.0,25630.0,25630.0,0,0,0,0,0,64,0.0,78.03355442840422,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,350,0,0,0,0,0,0,0,0,0,0,No Label
