Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-131.202.240.86-49292-49624-6,131.202.240.86,49624,131.202.240.150,49292,6,31/03/2015 07:06:50 PM,36934496,15,23,200.0,204.0,20.0,0.0,13.333333333333332,9.759000729485333,20.0,0.0,8.869565217391306,9.996837444576192,10.938283820090572,1.028848478127331,998229.6216216217,4916908.347607412,3.0033993E7,7.0,3.545377E7,2532412.1428571427,7969393.514797712,3.0184569E7,52.0,3.6734227E7,1669737.5909090915,6393511.376347129,3.0238897E7,31.0,0,1,0,0,480,736,0.4061243992607886,0.6227240788665425,0.0,20.0,10.410256410256412,9.980818310291493,99.61673414304994,0,0,0,1,1,0,0,0,1.0,10.68421052631579,13.333333333333334,8.869565217391305,0,0,0,0,0,0,15,200,23,204,-1,495,10,0,1480726.0,0.0,1480726.0,1480726.0,3.0033993E7,0.0,3.0033993E7,3.0033993E7,No Label
131.202.240.150-173.194.123.97-44899-443-6,131.202.240.150,44899,173.194.123.97,443,6,31/03/2015 07:07:24 PM,149115,10,9,887.0,289.0,517.0,0.0,88.7,160.58853563619596,153.0,0.0,32.111111111111114,50.587657695441,7886.530530127754,127.41843543573752,8284.166666666668,13119.735983041195,39386.0,37.0,97455.0,10828.333333333334,15157.425671927274,39821.0,130.0,149115.0,18639.375,23063.008197652794,64853.0,37.0,0,0,0,0,320,304,67.06233443986186,60.356100995875664,0.0,517.0,58.8,119.51199014941423,14283.115789473684,0,1,0,0,0,0,0,0,0.0,61.89473684210526,88.7,32.111111111111114,0,0,0,0,0,0,10,887,9,289,-1,350,6,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-202.55.10.11-0-0-0,202.55.10.11,0,131.202.240.150,0,0,31/03/2015 07:05:13 PM,85247376,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046922265384450074,2.8415792E7,4.9217512342872195E7,8.524728E7,35.0,0,0,0,0,0,8.5247376E7,4.2623688E7,6.027894815048466E7,8.5247341E7,35.0,0,0,0,0,0,0,0.011730566346112518,0.035191699038337555,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,-1,0,0,35.0,0.0,35.0,35.0,8.524728E7,0.0,8.524728E7,8.524728E7,No Label
131.202.240.150-103.7.29.12-0-0-0,103.7.29.12,0,131.202.240.150,0,0,31/03/2015 07:05:13 PM,85005854,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04705558278374569,2.8335284666666664E7,4.907810765627405E7,8.5005802E7,16.0,0,0,0,0,0,8.5005854E7,4.2502927E7,6.010816489226536E7,8.5005818E7,36.0,0,0,0,0,0,0,0.011763895695936423,0.03529168708780927,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,-1,0,0,36.0,0.0,36.0,36.0,8.5005802E7,0.0,8.5005802E7,8.5005802E7,No Label
131.202.240.150-131.202.240.86-40273-49624-17,131.202.240.150,40273,131.202.240.86,49624,17,31/03/2015 07:06:37 PM,49866453,4619,7397,1896648.0,6071315.0,1324.0,3.0,410.6187486468926,417.3238535050217,1342.0,3.0,820.7807219142901,504.28421263016355,159786.03892280048,240.96359931595697,4150.349812734089,41764.76721856917,4134986.0,0.0,4.9861636E7,10797.236032914681,67294.33616833074,4140661.0,14.0,4.9866141E7,6742.312195781527,53447.14665595128,4136293.0,1.0,0,0,0,0,36952,59176,92.62740223372214,148.33619708223483,3.0,1342.0,663.0667387867181,513.1229305444176,263295.1418504912,0,0,0,0,0,0,0,0,1.0,663.1219207723036,410.61874864689327,820.7807219142895,0,0,0,0,0,0,4619,1896648,7397,6071315,-1,-1,4619,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.3-35567-53-17,131.202.240.150,35567,131.202.244.3,53,17,31/03/2015 07:07:24 PM,554,0,2,0.0,410.0,0,0,0,0,373.0,37.0,205.0,237.58787847867995,740072.202166065,3610.1083032490974,554.0,0.0,554.0,554.0,0,0,0,0,0,554.0,554.0,0.0,554.0,554.0,0,0,0,0,0,16,0.0,3610.1083032490974,37.0,373.0,149.0,193.98969044771425,37632.0,0,0,0,0,0,0,0,0,0.0,223.5,0.0,205.0,0,0,0,0,0,0,0,0,2,410,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.5-35567-53-17,131.202.240.150,35567,131.202.244.5,53,17,31/03/2015 07:07:24 PM,39835,0,2,0.0,250.0,0,0,0,0,213.0,37.0,125.0,124.45079348883236,6275.888038157399,50.20710430525919,39835.0,0.0,39835.0,39835.0,0,0,0,0,0,39835.0,39835.0,0.0,39835.0,39835.0,0,0,0,0,0,16,0.0,50.20710430525919,37.0,213.0,95.66666666666666,101.61364737737412,10325.333333333332,0,0,0,0,0,0,0,0,0.0,143.5,0.0,125.0,0,0,0,0,0,0,0,0,2,250,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-183.61.32.19-0-0-0,183.61.32.19,0,131.202.240.150,0,0,31/03/2015 07:05:19 PM,86893784,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04603321222608973,2.8964594666666664E7,5.016809762178178E7,8.6893724E7,21.0,0,0,0,0,0,8.6893784E7,4.3446892E7,6.144312875503019E7,8.6893745E7,39.0,0,0,0,0,0,0,0.011508303056522432,0.0345249091695673,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,-1,0,0,39.0,0.0,39.0,39.0,8.6893724E7,0.0,8.6893724E7,8.6893724E7,No Label
131.202.240.150-203.205.148.12-0-0-0,203.205.148.12,0,131.202.240.150,0,0,31/03/2015 07:05:56 PM,17,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,117647.05882352941,17.0,0.0,17.0,17.0,0,0,0,0,0,17.0,17.0,0.0,17.0,17.0,0,0,0,0,0,0,0.0,117647.05882352941,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-111.221.74.14-40273-40029-17,131.202.240.150,40273,111.221.74.14,40029,17,31/03/2015 06:58:37 PM,249856,0,2,0.0,497.0,0,0,0,0,456.0,41.0,248.5,293.4493141924172,1989.1457479508197,8.004610655737705,249856.0,0.0,249856.0,249856.0,0,0,0,0,0,249856.0,249856.0,0.0,249856.0,249856.0,0,0,0,0,0,16,0.0,8.004610655737705,41.0,456.0,179.33333333333334,239.6003617136947,57408.333333333336,0,0,0,0,0,0,0,0,0.0,269.0,0.0,248.5,0,0,0,0,0,0,0,0,2,497,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
