Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-216.58.219.195-33183-443-6,131.202.240.150,33183,216.58.219.195,443,6,02/04/2015 04:47:53 PM,25592,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,78.14942169427947,25592.0,0.0,25592.0,25592.0,0,0,0,0,0,25592.0,25592.0,0.0,25592.0,25592.0,0,0,0,0,0,64,0.0,78.14942169427947,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,391,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-213.194.122.196-0-0-0,213.194.122.196,0,131.202.240.150,0,0,02/04/2015 04:50:55 PM,5690917,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0543116337841512,1138183.4,2526455.5368643044,5657571.0,15.0,33301.0,33301.0,0.0,33301.0,33301.0,5690917.0,1896972.3333333335,3256829.4555134955,5657586.0,30.0,0,0,0,0,0,0,0.3514372112613837,0.7028744225227674,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,4,0,-1,-1,0,0,30.0,0.0,30.0,30.0,5657571.0,0.0,5657571.0,5657571.0,No Label
131.202.240.150-58.250.134.64-0-0-0,58.250.134.64,0,131.202.240.150,0,0,02/04/2015 04:46:47 PM,58,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,34482.75862068965,58.0,0.0,58.0,58.0,0,0,0,0,0,58.0,58.0,0.0,58.0,58.0,0,0,0,0,0,0,0.0,34482.75862068965,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.243.255-138-138-17,131.202.240.150,138,131.202.243.255,138,17,02/04/2015 04:47:15 PM,118119863,3,1,573.0,191.0,191.0,191.0,191.0,0.0,191.0,191.0,191.0,0.0,6.468006147281089,0.03386390653026748,3.937328766666667E7,6.476559116561158E7,1.14158123E8,1925173.0,1.16083296E8,5.8041648E7,7.936068001757073E7,1.14158123E8,1925173.0,0,0,0,0,0,0,0,0,0,24,8,0.02539792989770061,0.00846597663256687,191.0,191.0,191.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,238.75,191.0,191.0,0,0,0,0,0,0,3,573,1,191,-1,-1,3,0,2036567.0,0.0,2036567.0,2036567.0,1.14158123E8,0.0,1.14158123E8,1.14158123E8,No Label
131.202.240.150-203.195.225.12-0-0-0,203.195.225.12,0,131.202.240.150,0,0,02/04/2015 04:47:45 PM,87632163,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04564534142561333,2.9210721E7,5.059437062531441E7,8.7632068E7,18.0,0,0,0,0,0,8.7632163E7,4.38160815E7,6.1965187812900566E7,8.7632086E7,77.0,0,0,0,0,0,0,0.011411335356403332,0.034234006069209996,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,-1,0,0,77.0,0.0,77.0,77.0,8.7632068E7,0.0,8.7632068E7,8.7632068E7,No Label
131.202.240.150-216.58.219.206-60366-443-6,131.202.240.150,60366,216.58.219.206,443,6,02/04/2015 04:47:53 PM,25613,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,78.08534728458204,25613.0,0.0,25613.0,25613.0,0,0,0,0,0,25613.0,25613.0,0.0,25613.0,25613.0,0,0,0,0,0,64,0.0,78.08534728458204,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,358,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-217.23.3.253-34160-9001-6,217.23.3.253,9001,131.202.240.150,34160,6,02/04/2015 04:50:06 PM,58251780,3869,2417,6091956.0,277905.0,12042.0,0.0,1574.5556991470698,804.5858652063647,2676.0,0.0,114.97931319817936,354.27308923669267,109350.49538400372,107.910865556383,9268.381861575179,266583.13210961263,1.8672051E7,0.0,5.8122795E7,15026.575749741432,342187.52795006934,1.8839167E7,3.0,5.8251659E7,24110.786009933796,429797.5221447545,1.8672051E7,1.0,0,1,0,0,123808,79704,66.41857124365985,41.49229431272315,0.0,12042.0,1013.266104660408,975.0850145112912,950790.7855244849,0,0,0,1,1,0,0,0,0.0,1013.4272987591473,1574.5556991470664,114.97931319817957,0,0,0,0,0,0,3869,6091956,2417,277905,-1,5989,3793,0,830549.0,749619.4550850452,1360610.0,300488.0,1.4255652E7,6245731.362650975,1.8672051E7,9839253.0,No Label
131.202.240.150-74.125.29.95-39982-443-6,131.202.240.150,39982,74.125.29.95,443,6,02/04/2015 04:47:53 PM,38267,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,52.264353097969526,38267.0,0.0,38267.0,38267.0,0,0,0,0,0,38267.0,38267.0,0.0,38267.0,38267.0,0,0,0,0,0,64,0.0,52.264353097969526,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,350,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-173.194.204.188-34418-5228-6,131.202.240.150,34418,173.194.204.188,5228,6,02/04/2015 04:51:01 PM,46059,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,43.4225667079181,46059.0,0.0,46059.0,46059.0,0,0,0,0,0,46059.0,46059.0,0.0,46059.0,46059.0,0,0,0,0,0,64,0.0,43.4225667079181,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,366,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-213.74.216.98-0-0-0,213.74.216.98,0,131.202.240.150,0,0,02/04/2015 04:47:27 PM,16721927,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4784137617632226,2388846.714285714,6121630.658341662,1.6269291E7,18.0,1.6489034E7,8244517.0,1.1348788066399425E7,1.6269322E7,219712.0,1.6721927E7,4180481.75,8059925.454044488,1.6269309E7,60.0,0,0,0,0,0,0,0.17940516066120848,0.2990086011020141,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,5,0,-1,-1,0,0,232893.0,0.0,232893.0,232893.0,1.6269291E7,0.0,1.6269291E7,1.6269291E7,No Label
