Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-131.202.243.255-138-138-17,131.202.240.150,138,131.202.243.255,138,17,02/04/2015 04:36:55 PM,7683511,3,1,573.0,191.0,191.0,191.0,191.0,0.0,191.0,191.0,191.0,0.0,99.43370940706663,0.5205953372097729,2561170.3333333335,1192042.470729266,3930092.0,1752189.0,5931322.0,2965661.0,1363911.4001730464,3930092.0,2001230.0,0,0,0,0,0,0,0,0,0,24,8,0.39044650290732974,0.13014883430244323,191.0,191.0,191.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,238.75,191.0,191.0,0,0,0,0,0,0,3,573,1,191,-1,-1,3,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-217.23.3.253-34160-9001-6,131.202.240.150,34160,217.23.3.253,9001,6,02/04/2015 04:37:55 PM,87256945,132,170,28779.0,166844.0,1338.0,0.0,218.02272727272717,333.8166170679242,2676.0,0.0,981.4352941176473,732.4880263909614,2241.918967023198,3.4610425565552405,289890.1827242523,2069210.2562012684,2.929598E7,6.0,8.7127477E7,665095.2442748094,3131174.2467296226,2.9464062E7,34.0,8.7256751E7,516312.13609467493,2766070.5135582704,2.9423953E7,36.0,0,1,0,0,4284,5440,1.5127735677658667,1.9482689887893736,0.0,2676.0,647.4125412541248,701.4375528188152,492014.64050444815,0,0,0,1,1,0,0,0,1.0,649.5562913907285,218.02272727272728,981.435294117647,0,0,0,0,0,0,132,28779,170,166844,-1,3177,45,0,5571366.75,5650594.088767503,1.0571252E7,633776.0,1.579744375E7,9222532.293241823,2.929598E7,9820076.0,No Label
131.202.240.150-131.202.6.3-9626-53-17,131.202.240.150,9626,131.202.6.3,53,17,02/04/2015 04:39:20 PM,48670,0,2,0.0,241.0,0,0,0,0,211.0,30.0,120.5,127.9863273947651,4951.715635915349,41.093075816724884,48670.0,0.0,48670.0,48670.0,0,0,0,0,0,48670.0,48670.0,0.0,48670.0,48670.0,0,0,0,0,0,16,0.0,41.093075816724884,30.0,211.0,90.33333333333334,104.50039872332226,10920.333333333334,0,0,0,0,0,0,0,0,0.0,135.5,0.0,120.5,0,0,0,0,0,0,0,0,2,241,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-173.194.204.188-34418-5228-6,131.202.240.150,34418,173.194.204.188,5228,6,02/04/2015 04:38:15 PM,45093669,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08870424803978581,1.5031223E7,2.5969468276282266E7,4.5018182E7,37698.0,0,0,0,0,0,4.5093669E7,2.25468345E7,3.1832597422173083E7,4.505588E7,37789.0,0,0,0,0,32,96,0.022176062009946453,0.06652818602983936,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,366,0,0,37789.0,0.0,37789.0,37789.0,4.5018182E7,0.0,4.5018182E7,4.5018182E7,No Label
131.202.240.150-131.202.244.5-23708-53-17,131.202.240.150,23708,131.202.244.5,53,17,02/04/2015 04:35:58 PM,399,0,2,0.0,306.0,0,0,0,0,263.0,43.0,153.0,155.56349186104046,766917.2932330827,5012.5313283208025,399.0,0.0,399.0,399.0,0,0,0,0,0,399.0,399.0,0.0,399.0,399.0,0,0,0,0,0,16,0.0,5012.5313283208025,43.0,263.0,116.33333333333333,127.01705922171766,16133.333333333332,0,0,0,0,0,0,0,0,0.0,174.5,0.0,153.0,0,0,0,0,0,0,0,0,2,306,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.3-6146-53-17,131.202.240.150,6146,131.202.244.3,53,17,02/04/2015 04:38:43 PM,547,0,2,0.0,410.0,0,0,0,0,373.0,37.0,205.0,237.58787847867995,749542.9616087752,3656.3071297989036,547.0,0.0,547.0,547.0,0,0,0,0,0,547.0,547.0,0.0,547.0,547.0,0,0,0,0,0,16,0.0,3656.3071297989036,37.0,373.0,149.0,193.98969044771425,37632.0,0,0,0,0,0,0,0,0,0.0,223.5,0.0,205.0,0,0,0,0,0,0,0,0,2,410,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,02/04/2015 04:38:14 PM,18588892,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21518227121874717,6196297.333333334,1.0732244642460417E7,1.8588826E7,31.0,1.8588861E7,9294430.5,1.3144260170159465E7,1.8588826E7,35.0,0,0,0,0,0,0,0,0,0,0,0,0.1613867034140604,0.05379556780468679,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,31.0,0.0,31.0,31.0,1.8588826E7,0.0,1.8588826E7,1.8588826E7,No Label
131.202.240.150-131.202.244.5-9626-53-17,131.202.240.150,9626,131.202.244.5,53,17,02/04/2015 04:39:20 PM,445,0,2,0.0,401.0,0,0,0,0,371.0,30.0,200.5,241.1234123846127,901123.595505618,4494.38202247191,445.0,0.0,445.0,445.0,0,0,0,0,0,445.0,445.0,0.0,445.0,445.0,0,0,0,0,0,16,0.0,4494.38202247191,30.0,371.0,143.66666666666669,196.8764417936624,38760.333333333336,0,0,0,0,0,0,0,0,0.0,215.5,0.0,200.5,0,0,0,0,0,0,0,0,2,401,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.5-4986-53-17,131.202.240.150,4986,131.202.244.5,53,17,02/04/2015 04:38:40 PM,470,0,2,0.0,412.0,0,0,0,0,379.0,33.0,206.0,244.65894629054543,876595.7446808511,4255.319148936171,470.0,0.0,470.0,470.0,0,0,0,0,0,470.0,470.0,0.0,470.0,470.0,0,0,0,0,0,16,0.0,4255.319148936171,33.0,379.0,148.33333333333331,199.7631931396105,39905.33333333333,0,0,0,0,0,0,0,0,0.0,222.5,0.0,206.0,0,0,0,0,0,0,0,0,2,412,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.5-7019-53-17,131.202.240.150,7019,131.202.244.5,53,17,02/04/2015 04:35:55 PM,80352,0,2,0.0,288.0,0,0,0,0,238.0,50.0,144.0,132.93607486307093,3584.229390681003,24.89048187972919,80352.0,0.0,80352.0,80352.0,0,0,0,0,0,80352.0,80352.0,0.0,80352.0,80352.0,0,0,0,0,0,16,0.0,24.89048187972919,50.0,238.0,112.66666666666666,108.54185060764964,11781.333333333332,0,0,0,0,0,0,0,0,0.0,169.0,0.0,144.0,0,0,0,0,0,0,0,0,2,288,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
