Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-131.202.244.3-42335-53-6,131.202.240.87,42335,131.202.244.3,53,6,29/04/2015 03:48:24 PM,1606,3,4,39.0,332.0,39.0,0.0,13.0,22.516660498395403,332.0,0.0,83.0,166.0,231008.71731008717,4358.65504358655,267.6666666666667,332.204555457427,929.0,46.0,1384.0,692.0,335.1686142824235,929.0,455.0,1560.0,520.0,568.366958927065,1176.0,175.0,0,0,0,0,60,104,1867.9950186799501,2490.6600249066,0.0,332.0,46.375,116.21401132639484,13505.69642857143,0,1,0,0,0,0,0,0,1.0,53.0,13.0,83.0,0,0,0,0,0,0,3,39,4,332,-1,229,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-62838-17208-17,131.202.240.242,62838,131.202.240.87,17208,17,29/04/2015 03:47:03 PM,119994062,1355,5302,85115.0,411277.0,209.0,2.0,62.81549815498156,35.27928112804912,222.0,2.0,77.57016220294241,20.75437964866963,4136.804702886047,55.47774522375949,18027.95402644235,198921.8014612235,1.6206618E7,10.0,1.19743213E8,88436.64180206796,453201.8396570273,1.6350959E7,45.0,1.19985303E8,22634.465761177176,222747.67987366716,1.6206618E7,39.0,0,0,0,0,10840,42416,11.29222544362237,44.18551978013712,2.0,222.0,74.55602282967867,25.14434102251623,632.2378854565925,0,0,0,0,0,0,0,0,3.0,74.56722247258524,62.81549815498155,77.57016220294229,0,0,0,0,0,0,1355,85115,5302,411277,-1,-1,1355,0,8.1088275E7,0.0,8.1088275E7,8.1088275E7,1.6206618E7,0.0,1.6206618E7,1.6206618E7,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,29/04/2015 03:47:06 PM,99263410,22,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23170672859213684,4511973.181818182,7600493.960140289,2.0998347E7,15.0,9.9263395E7,4726828.333333334,7719425.150577757,2.0998347E7,15.0,0,0,0,0,0,0,0,0,0,0,0,0.22163252300117436,0.010074205590962471,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,22,0,1,0,-1,-1,0,0,1452827.2,1748633.0474295344,4262150.0,15.0,1.52893895E7,6863664.172087785,2.0998347E7,6076232.0,No Label
131.202.240.87-65.55.163.222-42337-443-6,131.202.240.87,42337,65.55.163.222,443,6,29/04/2015 03:49:28 PM,499087,8,8,1917.0,4438.0,869.0,0.0,239.62499999999997,318.6323172112781,1350.0,0.0,554.75,606.1100206586731,12733.250916172932,32.05853889201682,33272.46666666667,58491.88501208238,234420.0,29.0,467222.0,66746.0,79618.92200141036,234453.0,1364.0,449021.0,64145.85714285715,79191.97255494307,235212.0,183.0,0,0,0,0,160,184,16.02926944600841,16.02926944600841,0.0,1350.0,373.82352941176464,489.129614122642,239247.7794117647,0,1,0,0,0,0,0,0,1.0,397.1875,239.625,554.75,0,0,0,0,0,0,8,1917,8,4438,-1,258,4,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-62838-17208-17,131.202.240.242,62838,131.202.240.87,17208,17,29/04/2015 03:49:03 PM,119995871,6000,6001,498000.0,498083.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8300.977289460236,100.01177457181007,9999.655916666687,3937.726395665479,22376.0,19.0,1.19978949E8,19999.824804134074,2769.1954779339508,28315.0,10577.0,1.19995871E8,19999.31183333334,3122.181851127813,25447.0,5486.0,0,0,0,0,48000,48008,50.001720475865376,50.01005409594469,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.0069160903258,83.0,83.0,0,0,0,0,0,0,6000,498000,6001,498083,-1,-1,6000,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,29/04/2015 03:49:06 PM,105000977,21,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20952185997278863,5000046.523809523,6279019.9350180095,1.8261981E7,14.0,1.05000812E8,5250040.6,6334006.260580277,1.8261981E7,14.0,0,0,0,0,0,0,0,0,0,0,0,0.1999981390649346,0.009523720907854027,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,21,0,1,0,-1,-1,0,0,304451.3333333333,912950.5131907479,2738986.0,14.0,1.1362302777777778E7,4244308.306109011,1.8261981E7,5737991.0,No Label
131.202.240.87-131.202.6.26-42338-13000-6,131.202.240.87,42338,131.202.6.26,13000,6,29/04/2015 03:51:17 PM,106187,14,13,8322.0,5828.0,1350.0,0.0,594.4285714285714,569.7235111182257,1350.0,0.0,448.30769230769226,541.6158516598556,133255.48325124543,254.26841327092768,4084.1153846153848,10985.761385819093,42991.0,4.0,66966.0,5151.230769230769,12213.404235742017,44696.0,4.0,106187.0,8848.916666666668,23060.07842949027,81353.0,89.0,0,0,0,0,280,284,131.84288095529584,122.42553231563186,0.0,1350.0,505.3571428571429,549.3613945290857,301797.94179894176,0,1,0,0,0,0,0,0,0.0,524.074074074074,594.4285714285714,448.3076923076923,0,0,0,0,0,0,14,8322,13,5828,-1,32239,10,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.6.26-42338-13000-6,131.202.240.87,42338,131.202.6.26,13000,6,29/04/2015 03:51:17 PM,77,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25974.025974025975,77.0,0.0,77.0,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,12987.012987012988,12987.012987012988,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,32213,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-62838-17208-17,131.202.240.242,62838,131.202.240.87,17208,17,29/04/2015 03:51:03 PM,119995099,5999,6001,497917.0,498083.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8300.338999678646,100.00408433347765,10000.424952079344,4185.17978281498,21772.0,15.0,1.19962297E8,20000.38296098689,2785.4196951857934,25972.0,12646.0,1.19995099E8,19999.1831666666,3095.834673773429,26489.0,5469.0,0,0,0,0,47992,48008,49.99370849304437,50.010375840433284,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.00691666666667,83.0,83.0,0,0,0,0,0,0,5999,497917,6001,498083,-1,-1,5999,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,29/04/2015 03:51:09 PM,108260496,22,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21245053227910576,4920931.636363637,6982276.632835668,2.099834E7,15.0,1.08260481E8,5155261.0,7065505.610783831,2.099834E7,15.0,0,0,0,0,0,0,0,0,0,0,0,0.20321355261479682,0.009236979664308946,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,22,0,1,0,-1,-1,0,0,894651.0,1449270.148558577,3260502.0,16.0,1.2749719875E7,5829767.117071179,2.099834E7,5058619.0,No Label
131.202.240.87-77.72.169.130-17208-11113-17,131.202.240.87,17208,77.72.169.130,11113,17,29/04/2015 03:47:03 PM,97239999,10,12,1526.0,2344.0,534.0,18.0,152.6,196.19955827337293,534.0,18.0,195.33333333333331,240.05655899214986,39.7984372665409,0.22624434621806197,4630476.142857144,1.7647329727185655E7,8.0753893E7,58.0,9.7102015E7,1.078911277777778E7,2.6538862773031387E7,8.0753893E7,63.0,9.7239999E7,8839999.909090908,2.417661007778621E7,8.0893677E7,150.0,0,0,0,0,80,96,0.10283833919002817,0.12340600702803381,18.0,534.0,191.47826086956522,224.92036359670573,50589.16996047431,0,0,0,0,0,0,0,0,1.0,200.1818181818182,152.6,195.33333333333334,0,0,0,0,0,0,10,1526,12,2344,-1,-1,10,0,140579.0,1422.6988437473335,141585.0,139573.0,4.63213775E7,4.8694930406721815E7,8.0753893E7,1.1888862E7,No Label
131.202.240.242-131.202.240.87-62838-17208-17,131.202.240.242,62838,131.202.240.87,17208,17,29/04/2015 03:53:03 PM,119990005,5999,6001,497917.0,498083.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8300.691378419395,100.00832986047463,10000.000416701365,4480.503819567918,23216.0,7.0,1.19961693E8,20000.282260753618,2765.151904335291,26038.0,14088.0,1.19990005E8,19998.33416666659,3123.5743494622843,25443.0,5618.0,0,0,0,0,47992,48008,49.99583090274894,50.01249895772569,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.00691666666667,83.0,83.0,0,0,0,0,0,0,5999,497917,6001,498083,-1,-1,5999,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,29/04/2015 03:53:09 PM,114259494,22,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2012961828799977,5193613.363636363,7719769.821204476,2.0999125E7,15.0,1.14259478E8,5440927.523809524,7820594.172421081,2.0999125E7,15.0,0,0,0,0,0,0,0,0,0,0,0,0.19254417492869344,0.008752007951304248,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,22,0,1,0,-1,-1,0,0,1043010.5714285714,1394897.874214675,3259442.0,15.0,1.527974857142857E7,5646979.314254299,2.0999125E7,6259152.0,No Label
