Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.8.8.178-64.12.27.65-34579-443-6,64.12.27.65,443,10.8.8.178,34579,6,03/06/2015 08:54:36 PM,18075229,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16597300095063802,9037614.5,1.2781037801440245E7,1.8075173E7,56.0,0,0,0,0,0,56.0,56.0,0.0,56.0,56.0,0,0,0,0,20,40,0.05532433365021267,0.11064866730042534,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,32185,0,0,56.0,0.0,56.0,56.0,1.8075173E7,0.0,1.8075173E7,1.8075173E7,No Label
205.188.12.91-10.8.8.178-443-48911-6,205.188.12.91,443,10.8.8.178,48911,6,03/06/2015 08:56:39 PM,47759206,43,45,6086.0,2526.0,628.0,0.0,141.5348837209302,141.69372551172094,292.0,0.0,56.13333333333334,76.27986747378485,180.32125575957022,1.842576696103365,548956.3908045976,1009675.6825192807,4963983.0,10.0,4.75521E7,1132192.857142857,1287082.2896523592,5173211.0,73.0,4.7759206E7,1085436.4999999998,1253243.5713786196,5170062.0,49.0,0,1,0,0,860,900,0.9003499765050533,0.9422267195983116,0.0,628.0,98.13483146067414,119.66840463730257,14320.52706843718,0,0,0,1,1,0,0,0,1.0,99.25,141.53488372093022,56.13333333333333,0,0,0,0,0,0,43,6086,45,2526,-1,64680,29,0,0,0,0,0,0,0,0,0,No Label
157.55.235.153-10.8.8.178-40002-15685-17,10.8.8.178,15685,157.55.235.153,40002,17,03/06/2015 08:42:41 PM,145230,0,2,0.0,516.0,0,0,0,0,482.0,34.0,258.0,316.7838379715733,3552.984920470977,13.771259381670454,145230.0,0.0,145230.0,145230.0,0,0,0,0,0,145230.0,145230.0,0.0,145230.0,145230.0,0,0,0,0,0,16,0.0,13.771259381670454,34.0,482.0,183.33333333333334,258.65292059695236,66901.33333333334,0,0,0,0,0,0,0,0,0.0,275.0,0.0,258.0,0,0,0,0,0,0,0,0,2,516,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.178-78.46.223.24-23581-53-17,10.8.8.178,23581,78.46.223.24,53,17,03/06/2015 08:43:35 PM,146178,0,2,0.0,445.0,0,0,0,0,409.0,36.0,222.5,263.75082938258225,3044.2337424236202,13.681949404151103,146178.0,0.0,146178.0,146178.0,0,0,0,0,0,146178.0,146178.0,0.0,146178.0,146178.0,0,0,0,0,0,16,0.0,13.681949404151103,36.0,409.0,160.33333333333331,215.3516504077304,46376.33333333333,0,0,0,0,0,0,0,0,0.0,240.5,0.0,222.5,0,0,0,0,0,0,0,0,2,445,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
157.56.52.13-10.8.8.178-40011-56909-6,157.56.52.13,40011,10.8.8.178,56909,6,03/06/2015 08:57:31 PM,271053,1,1,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,7.378630747492188,7.378630747492188,271053.0,0.0,271053.0,271053.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,3.689315373746094,3.689315373746094,0.0,2.0,1.3333333333333335,1.1547005383792515,1.3333333333333333,0,0,0,1,1,0,0,0,1.0,2.0,0.0,2.0,0,0,0,0,0,0,1,0,1,2,-1,1444,0,0,0,0,0,0,0,0,0,0,No Label
157.55.56.159-10.8.8.178-40005-15685-17,10.8.8.178,15685,157.55.56.159,40005,17,03/06/2015 08:47:56 PM,226589,0,2,0.0,905.0,0,0,0,0,871.0,34.0,452.5,591.8483758531403,3994.015596520572,8.826553804465354,226589.0,0.0,226589.0,226589.0,0,0,0,0,0,226589.0,226589.0,0.0,226589.0,226589.0,0,0,0,0,0,16,0.0,8.826553804465354,34.0,871.0,313.0,483.2421753117168,233523.0,0,0,0,0,0,0,0,0,0.0,469.5,0.0,452.5,0,0,0,0,0,0,0,0,2,905,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.178-64.12.104.73-49838-443-6,64.12.104.73,443,10.8.8.178,49838,6,03/06/2015 08:54:37 PM,34,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,58823.529411764706,34.0,0.0,34.0,34.0,0,0,0,0,0,34.0,34.0,0.0,34.0,34.0,0,0,0,0,0,40,0.0,58823.529411764706,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,44880,0,0,0,0,0,0,0,0,0,0,No Label
157.55.235.142-10.8.8.178-40029-15685-17,10.8.8.178,15685,157.55.235.142,40029,17,03/06/2015 08:46:05 PM,140839,0,2,0.0,61.0,0,0,0,0,41.0,20.0,30.5,14.849242404917497,433.1186674145656,14.2006120463792,140839.0,0.0,140839.0,140839.0,0,0,0,0,0,140839.0,140839.0,0.0,140839.0,140839.0,0,0,0,0,0,16,0.0,14.2006120463792,20.0,41.0,34.0,12.12435565298214,147.0,0,0,0,0,0,0,0,0,0.0,51.0,0.0,30.5,0,0,0,0,0,0,0,0,2,61,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
157.56.53.46-10.8.8.178-12350-38688-6,10.8.8.178,38688,157.56.53.46,12350,6,03/06/2015 08:52:31 PM,279020,1,2,0.0,10.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,35.839724750913916,10.751917425274174,139510.0,197246.02239842506,278984.0,36.0,0,0,0,0,0,278984.0,278984.0,0.0,278984.0,278984.0,0,1,0,0,32,64,3.5839724750913913,7.1679449501827825,0.0,5.0,3.75,2.5,6.25,0,0,0,1,1,0,0,0,2.0,5.0,0.0,5.0,0,0,0,0,0,0,1,0,2,10,-1,31,0,0,0,0,0,0,0,0,0,0,No Label
157.55.56.153-10.8.8.178-40033-15685-17,10.8.8.178,15685,157.55.56.153,40033,17,03/06/2015 08:46:05 PM,221577,0,2,0.0,478.0,0,0,0,0,443.0,35.0,239.0,288.4995667241114,2157.2636149058794,9.026207593748449,221577.0,0.0,221577.0,221577.0,0,0,0,0,0,221577.0,221577.0,0.0,221577.0,221577.0,0,0,0,0,0,16,0.0,9.026207593748449,35.0,443.0,171.0,235.5589098293673,55488.0,0,0,0,0,0,0,0,0,0.0,256.5,0.0,239.0,0,0,0,0,0,0,0,0,2,478,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
