Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
198.7.63.141-10.8.8.130-53-62277-17,10.8.8.130,62277,198.7.63.141,53,17,03/06/2015 08:51:08 PM,123362,0,2,0.0,445.0,0,0,0,0,409.0,36.0,222.5,263.75082938258225,3607.269661646212,16.212447917511064,123362.0,0.0,123362.0,123362.0,0,0,0,0,0,123362.0,123362.0,0.0,123362.0,123362.0,0,0,0,0,0,16,0.0,16.212447917511064,36.0,409.0,160.33333333333331,215.3516504077304,46376.33333333333,0,0,0,0,0,0,0,0,0.0,240.5,0.0,222.5,0,0,0,0,0,0,0,0,2,445,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
205.188.12.43-10.8.8.130-443-44917-6,10.8.8.130,44917,205.188.12.43,443,6,03/06/2015 08:56:39 PM,47551778,49,47,3552.0,6324.0,394.0,0.0,72.48979591836734,88.47931077587658,484.0,0.0,134.55319148936167,128.6604578474133,207.68939491600082,2.0188519554410775,500545.0315789473,984791.9921086635,5173215.0,9.0,4.7551704E7,990660.4999999999,1273536.678365994,5173254.0,53.0,4.755174E7,1033733.4782608693,1284479.7050780044,5173241.0,87.0,0,1,0,0,980,940,1.0304556855897167,0.9883962698513608,0.0,484.0,103.07216494845362,113.19233699610224,12812.505154639175,0,0,0,1,1,0,0,0,0.0,104.14583333333333,72.48979591836735,134.5531914893617,0,0,0,0,0,0,49,3552,47,6324,-1,16384,23,0,9538049.0,0.0,9538049.0,9538049.0,5173215.0,0.0,5173215.0,5173215.0,No Label
10.8.8.130-64.12.104.73-42784-443-6,64.12.104.73,443,10.8.8.130,42784,6,03/06/2015 08:52:31 PM,26,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,76923.07692307692,26.0,0.0,26.0,26.0,0,0,0,0,0,26.0,26.0,0.0,26.0,26.0,0,0,0,0,0,40,0.0,76923.07692307692,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,44880,0,0,0,0,0,0,0,0,0,0,No Label
198.7.63.141-10.8.8.130-53-30362-17,10.8.8.130,30362,198.7.63.141,53,17,03/06/2015 08:51:08 PM,930013,0,2,0.0,162.0,0,0,0,0,126.0,36.0,81.0,63.63961030678928,174.19111345755383,2.150507573550047,930013.0,0.0,930013.0,930013.0,0,0,0,0,0,930013.0,930013.0,0.0,930013.0,930013.0,0,0,0,0,0,16,0.0,2.150507573550047,36.0,126.0,66.0,51.96152422706632,2700.0,0,0,0,0,0,0,0,0,0.0,99.0,0.0,81.0,0,0,0,0,0,0,0,0,2,162,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
178.237.19.227-10.8.8.130-443-48410-6,10.8.8.130,48410,178.237.19.227,443,6,03/06/2015 08:55:31 PM,90171700,3,5,18.0,6.0,6.0,6.0,6.0,0.0,6.0,0.0,1.2,2.6832815729997477,0.26615889464211057,0.08871963154737018,1.288167142857143E7,1.58523384014564E7,2.9829322E7,170139.0,5.999979E7,2.9999895E7,613.7686860699232,3.0000329E7,2.9999461E7,9.01717E7,2.2542925E7,1.491367539188059E7,3.0001327E7,172412.0,0,1,0,0,60,100,0.03326986183026382,0.05544976971710636,0.0,6.0,3.3333333333333335,3.1622776601683795,10.0,0,0,0,1,1,0,0,0,1.0,3.75,6.0,1.2,0,0,0,0,0,0,3,18,5,6,-1,16384,3,0,171518.66666666666,1212.032315300765,172412.0,170139.0,2.9828534E7,706.7984153915457,2.9829322E7,2.9827956E7,No Label
10.8.8.130-64.12.27.66-38929-443-6,64.12.27.66,443,10.8.8.130,38929,6,03/06/2015 08:54:36 PM,2820300,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0637166258908626,1410150.0,1994217.8996413606,2820275.0,25.0,0,0,0,0,0,25.0,25.0,0.0,25.0,25.0,0,0,0,0,20,40,0.35457220863028754,0.7091444172605751,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,33755,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.130-78.46.223.24-62277-53-17,10.8.8.130,62277,78.46.223.24,53,17,03/06/2015 08:51:08 PM,123802,0,2,0.0,445.0,0,0,0,0,409.0,36.0,222.5,263.75082938258225,3594.449201143762,16.15482787030904,123802.0,0.0,123802.0,123802.0,0,0,0,0,0,123802.0,123802.0,0.0,123802.0,123802.0,0,0,0,0,0,16,0.0,16.15482787030904,36.0,409.0,160.33333333333331,215.3516504077304,46376.33333333333,0,0,0,0,0,0,0,0,0.0,240.5,0.0,222.5,0,0,0,0,0,0,0,0,2,445,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.130-67.18.187.111-38602-123-17,10.8.8.130,38602,67.18.187.111,123,17,03/06/2015 08:52:50 PM,238626,0,2,0.0,96.0,0,0,0,0,48.0,48.0,48.0,0.0,402.30318573835206,8.381316369549001,238626.0,0.0,238626.0,238626.0,0,0,0,0,0,238626.0,238626.0,0.0,238626.0,238626.0,0,0,0,0,0,16,0.0,8.381316369549001,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,72.0,0.0,48.0,0,0,0,0,0,0,0,0,2,96,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
178.237.18.202-10.8.8.130-443-34342-6,10.8.8.130,34342,178.237.18.202,443,6,03/06/2015 08:55:31 PM,90174867,3,5,18.0,6.0,6.0,6.0,6.0,0.0,6.0,0.0,1.2,2.6832815729997477,0.2661495469685583,0.0887165156561861,1.2882123857142858E7,1.5849562297892535E7,2.9826199E7,173552.0,5.9999775E7,2.99998875E7,605.9905114768712,3.0000316E7,2.9999459E7,9.0174867E7,2.254371675E7,1.4912865844881624E7,3.0000923E7,174418.0,0,1,0,0,60,100,0.03326869337106979,0.05544782228511631,0.0,6.0,3.3333333333333335,3.1622776601683795,10.0,0,0,0,1,1,0,0,0,1.0,3.75,6.0,1.2,0,0,0,0,0,0,3,18,5,6,-1,16384,3,0,174029.0,439.6555469910507,174418.0,173552.0,2.9826018666666668E7,157.64622841455275,2.9826199E7,2.9825907E7,No Label
205.188.12.43-10.8.8.130-443-44917-6,10.8.8.130,44917,205.188.12.43,443,6,03/06/2015 08:40:21 PM,119836611,45,45,3100.0,6118.0,234.0,0.0,68.8888888888889,78.45503119107096,468.0,0.0,135.95555555555558,137.84938347795585,76.92140092312857,0.7510225735605958,1346478.7752808984,2667584.3298647385,1.3596734E7,9.0,1.19197943E8,2709044.1590909082,3337043.869055943,1.3596734E7,1646.0,1.19836589E8,2723558.84090909,3367544.347220189,1.3797381E7,114.0,0,1,0,0,900,900,0.3755112867802979,0.3755112867802979,0.0,468.0,102.63736263736263,115.87920113285755,13427.989255189254,0,0,0,1,1,0,0,0,1.0,103.77777777777777,68.88888888888889,135.95555555555555,0,0,0,0,0,0,45,3100,45,6118,-1,16384,21,0,3995741.4000000004,4393032.274716689,1.4112623E7,201504.0,7556492.7,2991503.8050425425,1.3596734E7,5092871.0,No Label
