Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
173.194.67.16-10.8.8.234-465-37864-6,173.194.67.16,465,10.8.8.234,37864,6,08/06/2015 04:35:41 PM,2471,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,809.3889113719142,2471.0,0.0,2471.0,2471.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,404.6944556859571,404.6944556859571,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
173.194.67.16-10.8.8.234-465-37841-6,173.194.67.16,465,10.8.8.234,37841,6,08/06/2015 04:30:01 PM,53,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37735.84905660377,53.0,0.0,53.0,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,18867.924528301886,18867.924528301886,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
198.7.63.141-10.8.8.234-53-54904-17,10.8.8.234,54904,198.7.63.141,53,17,08/06/2015 04:25:53 PM,134212,0,2,0.0,242.0,0,0,0,0,207.0,35.0,121.0,121.62236636408618,1803.1174559651895,14.901797156737103,134212.0,0.0,134212.0,134212.0,0,0,0,0,0,134212.0,134212.0,0.0,134212.0,134212.0,0,0,0,0,0,16,0.0,14.901797156737103,35.0,207.0,92.33333333333334,99.30424630061563,9861.333333333334,0,0,0,0,0,0,0,0,0.0,138.5,0.0,121.0,0,0,0,0,0,0,0,0,2,242,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
198.7.63.141-10.8.8.234-53-57882-17,10.8.8.234,57882,198.7.63.141,53,17,08/06/2015 04:34:24 PM,135632,0,2,0.0,277.0,0,0,0,0,240.0,37.0,138.5,143.54267658086914,2042.2909048012268,14.745782706146041,135632.0,0.0,135632.0,135632.0,0,0,0,0,0,135632.0,135632.0,0.0,135632.0,135632.0,0,0,0,0,0,16,0.0,14.745782706146041,37.0,240.0,104.66666666666667,117.20210464549403,13736.333333333334,0,0,0,0,0,0,0,0,0.0,157.0,0.0,138.5,0,0,0,0,0,0,0,0,2,277,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
198.7.63.141-10.8.8.234-53-56665-17,10.8.8.234,56665,198.7.63.141,53,17,08/06/2015 04:33:43 PM,145496,0,2,0.0,265.0,0,0,0,0,228.0,37.0,132.5,135.0573952066306,1821.3559135646342,13.746082366525542,145496.0,0.0,145496.0,145496.0,0,0,0,0,0,145496.0,145496.0,0.0,145496.0,145496.0,0,0,0,0,0,16,0.0,13.746082366525542,37.0,228.0,100.66666666666666,110.27390141521852,12160.333333333332,0,0,0,0,0,0,0,0,0.0,151.0,0.0,132.5,0,0,0,0,0,0,0,0,2,265,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
173.194.67.16-10.8.8.234-465-37868-6,173.194.67.16,465,10.8.8.234,37868,6,08/06/2015 04:36:26 PM,40,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49999.99999999999,40.0,0.0,40.0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,24999.999999999996,24999.999999999996,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
173.194.67.16-10.8.8.234-465-37845-6,173.194.67.16,465,10.8.8.234,37845,6,08/06/2015 04:31:05 PM,38,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52631.57894736842,38.0,0.0,38.0,38.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,26315.78947368421,26315.78947368421,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.234-78.46.223.24-20305-53-17,10.8.8.234,20305,78.46.223.24,53,17,08/06/2015 04:27:53 PM,141384,0,2,0.0,274.0,0,0,0,0,238.0,36.0,137.0,142.8355697996826,1937.9844961240308,14.145872234481978,141384.0,0.0,141384.0,141384.0,0,0,0,0,0,141384.0,141384.0,0.0,141384.0,141384.0,0,0,0,0,0,16,0.0,14.145872234481978,36.0,238.0,103.33333333333333,116.6247543763044,13601.333333333332,0,0,0,0,0,0,0,0,0.0,155.0,0.0,137.0,0,0,0,0,0,0,0,0,2,274,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
173.194.67.16-10.8.8.234-465-37883-6,173.194.67.16,465,10.8.8.234,37883,6,08/06/2015 04:39:28 PM,59,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33898.30508474576,59.0,0.0,59.0,59.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,16949.15254237288,16949.15254237288,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.234-74.125.133.16-51056-993-6,10.8.8.234,51056,74.125.133.16,993,6,08/06/2015 04:38:49 PM,1073748,4,7,84.0,175.0,44.0,0.0,21.0,24.303634844744245,60.0,0.0,25.0,24.623836689950114,241.2111594154308,10.244489396022159,107374.8,90396.60327664726,257032.0,26.0,757605.0,252535.0,225779.84017400668,437182.0,820.0,1033938.0,172323.0,44420.076974269185,257032.0,142279.0,0,1,0,0,128,224,3.725268871280785,6.519220524741374,0.0,60.0,24.75,22.647998105391526,512.9318181818181,0,0,0,1,1,0,0,0,1.0,27.0,21.0,25.0,0,0,0,0,0,0,4,84,7,175,-1,350,2,0,0,0,0,0,0,0,0,0,No Label
