Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.244.5-10.8.0.10-53-12337-17,10.8.0.10,12337,131.202.244.5,53,17,14/04/2015 10:11:59 PM,678,0,2,0.0,261.0,0,0,0,0,228.0,33.0,130.5,137.88582233137677,384955.7522123894,2949.8525073746314,678.0,0.0,678.0,678.0,0,0,0,0,0,678.0,678.0,0.0,678.0,678.0,0,0,0,0,0,16,0.0,2949.8525073746314,33.0,228.0,98.0,112.58330249197702,12675.0,0,0,0,0,0,0,0,0,0.0,147.0,0.0,130.5,0,0,0,0,0,0,0,0,2,261,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.244.3-10.8.0.10-53-33297-17,10.8.0.10,33297,131.202.244.3,53,17,14/04/2015 09:06:09 PM,699,0,2,0.0,175.0,0,0,0,0,141.0,34.0,87.5,75.66042558696059,250357.6537911302,2861.230329041488,699.0,0.0,699.0,699.0,0,0,0,0,0,699.0,699.0,0.0,699.0,699.0,0,0,0,0,0,16,0.0,2861.230329041488,34.0,141.0,69.66666666666666,61.776478803289955,3816.333333333333,0,0,0,0,0,0,0,0,0.0,104.5,0.0,87.5,0,0,0,0,0,0,0,0,2,175,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
173.252.79.94-10.8.0.10-50009-51013-17,10.8.0.10,51013,173.252.79.94,50009,17,14/04/2015 09:51:33 PM,80994,0,2,0.0,196.0,0,0,0,0,144.0,52.0,98.0,65.05382386916237,2419.93234066721,24.69318714966541,80994.0,0.0,80994.0,80994.0,0,0,0,0,0,80994.0,80994.0,0.0,80994.0,80994.0,0,0,0,0,0,16,0.0,24.69318714966541,52.0,144.0,113.33333333333333,53.11622476544557,2821.3333333333335,0,0,0,0,0,0,0,0,0.0,170.0,0.0,98.0,0,0,0,0,0,0,0,0,2,196,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.244.5-10.8.0.10-53-30127-17,10.8.0.10,30127,131.202.244.5,53,17,14/04/2015 10:11:55 PM,775,0,2,0.0,261.0,0,0,0,0,228.0,33.0,130.5,137.88582233137677,336774.1935483871,2580.6451612903224,775.0,0.0,775.0,775.0,0,0,0,0,0,775.0,775.0,0.0,775.0,775.0,0,0,0,0,0,16,0.0,2580.6451612903224,33.0,228.0,98.0,112.58330249197702,12675.0,0,0,0,0,0,0,0,0,0.0,147.0,0.0,130.5,0,0,0,0,0,0,0,0,2,261,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.6.3-10.8.0.10-53-27722-17,10.8.0.10,27722,131.202.6.3,53,17,14/04/2015 09:25:42 PM,1381,0,2,0.0,191.0,0,0,0,0,149.0,42.0,95.5,75.66042558696059,138305.57566980447,1448.225923244026,1381.0,0.0,1381.0,1381.0,0,0,0,0,0,1381.0,1381.0,0.0,1381.0,1381.0,0,0,0,0,0,16,0.0,1448.225923244026,42.0,149.0,77.66666666666666,61.776478803289955,3816.333333333333,0,0,0,0,0,0,0,0,0.0,116.5,0.0,95.5,0,0,0,0,0,0,0,0,2,191,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.244.3-10.8.0.10-53-14170-17,10.8.0.10,14170,131.202.244.3,53,17,14/04/2015 09:07:00 PM,699,0,2,0.0,175.0,0,0,0,0,141.0,34.0,87.5,75.66042558696059,250357.6537911302,2861.230329041488,699.0,0.0,699.0,699.0,0,0,0,0,0,699.0,699.0,0.0,699.0,699.0,0,0,0,0,0,16,0.0,2861.230329041488,34.0,141.0,69.66666666666666,61.776478803289955,3816.333333333333,0,0,0,0,0,0,0,0,0.0,104.5,0.0,87.5,0,0,0,0,0,0,0,0,2,175,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.244.3-10.8.0.10-53-36849-17,10.8.0.10,36849,131.202.244.3,53,17,14/04/2015 09:06:59 PM,751,0,2,0.0,175.0,0,0,0,0,141.0,34.0,87.5,75.66042558696059,233022.63648468707,2663.1158455392806,751.0,0.0,751.0,751.0,0,0,0,0,0,751.0,751.0,0.0,751.0,751.0,0,0,0,0,0,16,0.0,2663.1158455392806,34.0,141.0,69.66666666666666,61.776478803289955,3816.333333333333,0,0,0,0,0,0,0,0,0.0,104.5,0.0,87.5,0,0,0,0,0,0,0,0,2,175,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.244.5-10.8.0.10-53-56483-17,10.8.0.10,56483,131.202.244.5,53,17,14/04/2015 09:27:22 PM,498,0,2,0.0,191.0,0,0,0,0,149.0,42.0,95.5,75.66042558696059,383534.1365461848,4016.064257028113,498.0,0.0,498.0,498.0,0,0,0,0,0,498.0,498.0,0.0,498.0,498.0,0,0,0,0,0,16,0.0,4016.064257028113,42.0,149.0,77.66666666666666,61.776478803289955,3816.333333333333,0,0,0,0,0,0,0,0,0.0,116.5,0.0,95.5,0,0,0,0,0,0,0,0,2,191,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.244.3-10.8.0.10-53-45487-17,10.8.0.10,45487,131.202.244.3,53,17,14/04/2015 09:06:58 PM,622,0,2,0.0,175.0,0,0,0,0,141.0,34.0,87.5,75.66042558696059,281350.48231511255,3215.434083601286,622.0,0.0,622.0,622.0,0,0,0,0,0,622.0,622.0,0.0,622.0,622.0,0,0,0,0,0,16,0.0,3215.434083601286,34.0,141.0,69.66666666666666,61.776478803289955,3816.333333333333,0,0,0,0,0,0,0,0,0.0,104.5,0.0,87.5,0,0,0,0,0,0,0,0,2,175,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.244.5-10.8.0.10-53-21697-17,10.8.0.10,21697,131.202.244.5,53,17,14/04/2015 09:30:24 PM,818,0,2,0.0,250.0,0,0,0,0,216.0,34.0,125.0,128.69343417595164,305623.47188264056,2444.9877750611245,818.0,0.0,818.0,818.0,0,0,0,0,0,818.0,818.0,0.0,818.0,818.0,0,0,0,0,0,16,0.0,2444.9877750611245,34.0,216.0,94.66666666666666,105.07774899251189,11041.333333333332,0,0,0,0,0,0,0,0,0.0,142.0,0.0,125.0,0,0,0,0,0,0,0,0,2,250,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
