Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
198.7.63.141-10.8.8.178-53-5658-17,10.8.8.178,5658,198.7.63.141,53,17,03/06/2015 08:08:35 PM,129844,0,2,0.0,187.0,0,0,0,0,153.0,34.0,93.5,84.14570696119915,1440.1897661809558,15.403099103539633,129844.0,0.0,129844.0,129844.0,0,0,0,0,0,129844.0,129844.0,0.0,129844.0,129844.0,0,0,0,0,0,16,0.0,15.403099103539633,34.0,153.0,73.66666666666666,68.70468203356546,4720.333333333333,0,0,0,0,0,0,0,0,0.0,110.5,0.0,93.5,0,0,0,0,0,0,0,0,2,187,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
198.7.63.141-10.8.8.178-53-22827-17,10.8.8.178,22827,198.7.63.141,53,17,03/06/2015 08:05:48 PM,129469,0,2,0.0,187.0,0,0,0,0,153.0,34.0,93.5,84.14570696119915,1444.3611984336019,15.447713352231036,129469.0,0.0,129469.0,129469.0,0,0,0,0,0,129469.0,129469.0,0.0,129469.0,129469.0,0,0,0,0,0,16,0.0,15.447713352231036,34.0,153.0,73.66666666666666,68.70468203356546,4720.333333333333,0,0,0,0,0,0,0,0,0.0,110.5,0.0,93.5,0,0,0,0,0,0,0,0,2,187,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
198.7.63.141-10.8.8.178-53-32458-17,10.8.8.178,32458,198.7.63.141,53,17,03/06/2015 08:05:08 PM,130411,0,2,0.0,175.0,0,0,0,0,141.0,34.0,87.5,75.66042558696059,1341.9113418346612,15.336129620967556,130411.0,0.0,130411.0,130411.0,0,0,0,0,0,130411.0,130411.0,0.0,130411.0,130411.0,0,0,0,0,0,16,0.0,15.336129620967556,34.0,141.0,69.66666666666666,61.776478803289955,3816.333333333333,0,0,0,0,0,0,0,0,0.0,104.5,0.0,87.5,0,0,0,0,0,0,0,0,2,175,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
198.7.63.141-10.8.8.178-53-60508-17,10.8.8.178,60508,198.7.63.141,53,17,03/06/2015 08:10:59 PM,130470,0,2,0.0,187.0,0,0,0,0,153.0,34.0,93.5,84.14570696119915,1433.2796811527553,15.329194450831608,130470.0,0.0,130470.0,130470.0,0,0,0,0,0,130470.0,130470.0,0.0,130470.0,130470.0,0,0,0,0,0,16,0.0,15.329194450831608,34.0,153.0,73.66666666666666,68.70468203356546,4720.333333333333,0,0,0,0,0,0,0,0,0.0,110.5,0.0,93.5,0,0,0,0,0,0,0,0,2,187,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
198.7.63.141-10.8.8.178-53-60829-17,10.8.8.178,60829,198.7.63.141,53,17,03/06/2015 08:01:53 PM,129794,0,2,0.0,187.0,0,0,0,0,153.0,34.0,93.5,84.14570696119915,1440.7445644636887,15.409032775012713,129794.0,0.0,129794.0,129794.0,0,0,0,0,0,129794.0,129794.0,0.0,129794.0,129794.0,0,0,0,0,0,16,0.0,15.409032775012713,34.0,153.0,73.66666666666666,68.70468203356546,4720.333333333333,0,0,0,0,0,0,0,0,0.0,110.5,0.0,93.5,0,0,0,0,0,0,0,0,2,187,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
198.7.63.141-10.8.8.178-53-5154-17,10.8.8.178,5154,198.7.63.141,53,17,03/06/2015 08:06:07 PM,130081,0,2,0.0,175.0,0,0,0,0,141.0,34.0,87.5,75.66042558696059,1345.3156110423506,15.37503555476972,130081.0,0.0,130081.0,130081.0,0,0,0,0,0,130081.0,130081.0,0.0,130081.0,130081.0,0,0,0,0,0,16,0.0,15.37503555476972,34.0,141.0,69.66666666666666,61.776478803289955,3816.333333333333,0,0,0,0,0,0,0,0,0.0,104.5,0.0,87.5,0,0,0,0,0,0,0,0,2,175,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
198.7.63.141-10.8.8.178-53-5417-17,10.8.8.178,5417,198.7.63.141,53,17,03/06/2015 07:58:59 PM,129784,0,2,0.0,187.0,0,0,0,0,153.0,34.0,93.5,84.14570696119915,1440.8555754176168,15.410220057942427,129784.0,0.0,129784.0,129784.0,0,0,0,0,0,129784.0,129784.0,0.0,129784.0,129784.0,0,0,0,0,0,16,0.0,15.410220057942427,34.0,153.0,73.66666666666666,68.70468203356546,4720.333333333333,0,0,0,0,0,0,0,0,0.0,110.5,0.0,93.5,0,0,0,0,0,0,0,0,2,187,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
198.7.63.141-10.8.8.178-53-37424-17,10.8.8.178,37424,198.7.63.141,53,17,03/06/2015 07:58:13 PM,130937,0,2,0.0,187.0,0,0,0,0,153.0,34.0,93.5,84.14570696119915,1428.1677447932975,15.274521334687675,130937.0,0.0,130937.0,130937.0,0,0,0,0,0,130937.0,130937.0,0.0,130937.0,130937.0,0,0,0,0,0,16,0.0,15.274521334687675,34.0,153.0,73.66666666666666,68.70468203356546,4720.333333333333,0,0,0,0,0,0,0,0,0.0,110.5,0.0,93.5,0,0,0,0,0,0,0,0,2,187,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
198.7.63.141-10.8.8.178-53-63717-17,10.8.8.178,63717,198.7.63.141,53,17,03/06/2015 08:11:32 PM,129707,0,2,0.0,187.0,0,0,0,0,153.0,34.0,93.5,84.14570696119915,1441.7109331030708,15.419368268482042,129707.0,0.0,129707.0,129707.0,0,0,0,0,0,129707.0,129707.0,0.0,129707.0,129707.0,0,0,0,0,0,16,0.0,15.419368268482042,34.0,153.0,73.66666666666666,68.70468203356546,4720.333333333333,0,0,0,0,0,0,0,0,0.0,110.5,0.0,93.5,0,0,0,0,0,0,0,0,2,187,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
198.7.63.141-10.8.8.178-53-26354-17,10.8.8.178,26354,198.7.63.141,53,17,03/06/2015 08:05:38 PM,129852,0,2,0.0,187.0,0,0,0,0,153.0,34.0,93.5,84.14570696119915,1440.1010381049196,15.402150140159566,129852.0,0.0,129852.0,129852.0,0,0,0,0,0,129852.0,129852.0,0.0,129852.0,129852.0,0,0,0,0,0,16,0.0,15.402150140159566,34.0,153.0,73.66666666666666,68.70468203356546,4720.333333333333,0,0,0,0,0,0,0,0,0.0,110.5,0.0,93.5,0,0,0,0,0,0,0,0,2,187,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
