Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.8.0.14-74.125.226.3-58724-80-6,10.8.0.14,58724,74.125.226.3,80,6,14/04/2015 10:14:38 PM,5482355,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5472100949318313,2741177.5,3840883.1201457432,5457092.0,25263.0,0,0,0,0,0,25263.0,25263.0,0.0,25263.0,25263.0,0,0,0,0,32,64,0.1824033649772771,0.3648067299545542,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,341,0,0,0,0,0,0,0,0,0,0,No Label
10.8.0.14-74.125.226.3-39315-443-6,10.8.0.14,39315,74.125.226.3,443,6,14/04/2015 10:14:59 PM,25356,0,4,0.0,106.0,0,0,0,0,60.0,0.0,26.5,31.12876483254676,4180.470105694904,157.75358889414733,8452.0,14492.26317729567,25186.0,10.0,0,0,0,0,0,25356.0,8452.0,14492.26317729567,25186.0,10.0,0,1,0,0,0,128,0.0,157.75358889414733,0.0,60.0,30.4,28.333725487482226,802.8,0,0,0,1,1,0,0,0,0.0,38.0,0.0,26.5,0,0,0,0,0,0,0,0,4,106,-1,514,0,0,0,0,0,0,0,0,0,0,No Label
10.8.0.14-74.125.226.3-39315-443-6,10.8.0.14,39315,74.125.226.3,443,6,14/04/2015 10:14:59 PM,65,2,1,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,46.0,46.0,0.0,1184615.3846153847,46153.846153846156,32.5,37.476659402887016,59.0,6.0,6.0,6.0,0.0,6.0,6.0,0,0,0,0,0,0,1,0,0,64,32,30769.230769230773,15384.615384615387,0.0,46.0,30.75,21.68524844220144,470.25,0,0,0,1,1,0,0,0,0.0,41.0,15.5,46.0,0,0,0,0,0,0,2,31,1,46,-1,254,1,0,0,0,0,0,0,0,0,0,No Label
173.194.123.5-10.8.0.14-443-53935-6,10.8.0.14,53935,173.194.123.5,443,6,14/04/2015 10:15:29 PM,28979,0,3,0.0,106.0,0,0,0,0,60.0,0.0,35.33333333333333,31.390019645316144,3657.821180855102,103.52324096759722,14489.5,20423.365161011054,28931.0,48.0,0,0,0,0,0,28979.0,14489.5,20423.365161011054,28931.0,48.0,0,1,0,0,0,96,0.0,103.52324096759722,0.0,60.0,38.0,26.178871888095816,685.3333333333334,0,0,0,1,1,0,0,0,0.0,50.666666666666664,0.0,35.333333333333336,0,0,0,0,0,0,0,0,3,106,-1,375,0,0,0,0,0,0,0,0,0,0,No Label
173.194.123.5-10.8.0.14-443-53935-6,10.8.0.14,53935,173.194.123.5,443,6,14/04/2015 10:15:29 PM,196,2,1,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,46.0,46.0,0.0,392857.1428571429,15306.122448979593,98.0,100.40916292848975,169.0,27.0,27.0,27.0,0.0,27.0,27.0,0,0,0,0,0,0,1,0,0,64,32,10204.081632653062,5102.040816326531,0.0,46.0,30.75,21.68524844220144,470.25,0,0,0,1,1,0,0,0,0.0,41.0,15.5,46.0,0,0,0,0,0,0,2,31,1,46,-1,237,1,0,0,0,0,0,0,0,0,0,No Label
173.194.123.23-10.8.0.14-443-45177-6,10.8.0.14,45177,173.194.123.23,443,6,14/04/2015 10:14:38 PM,58493746,9,11,739.0,345.0,517.0,0.0,82.11111111111111,165.95891392483597,149.0,0.0,31.363636363636363,46.178507397430515,18.531895700439495,0.3419168948420571,3078618.2105263155,1.337421409627925E7,5.8307184E7,16.0,5.8467944E7,7308492.999999999,2.060707548385424E7,5.8308372E7,186.0,5.8493746E7,5849374.600000001,1.8440730517632287E7,5.8332592E7,27.0,0,0,0,0,288,368,0.1538626026789257,0.1880542921631314,0.0,517.0,51.61904761904763,113.40391359669921,12860.44761904762,0,1,0,0,0,0,0,0,1.0,54.2,82.11111111111111,31.363636363636363,0,0,0,0,0,0,9,739,11,345,-1,341,5,0,160980.0,0.0,160980.0,160980.0,5.8307184E7,0.0,5.8307184E7,5.8307184E7,No Label
173.194.123.10-10.8.0.14-443-47639-6,10.8.0.14,47639,173.194.123.10,443,6,14/04/2015 10:14:38 PM,58373570,9,11,739.0,345.0,517.0,0.0,82.11111111111111,165.95891392483597,149.0,0.0,31.363636363636363,46.178507397430515,18.5700480542821,0.34262081280963286,3072293.157894737,1.335112615026544E7,5.8205517E7,11.0,5.8347851E7,7293481.375,2.0582418329720408E7,5.8232355E7,218.0,5.837357E7,5837357.0,1.8409270625132635E7,5.8231026E7,26.0,0,0,0,0,288,368,0.15417936576433477,0.18844144704529806,0.0,517.0,51.61904761904763,113.40391359669921,12860.44761904762,0,1,0,0,0,0,0,0,1.0,54.2,82.11111111111111,31.363636363636363,0,0,0,0,0,0,9,739,11,345,-1,341,5,0,142441.0,0.0,142441.0,142441.0,5.8205517E7,0.0,5.8205517E7,5.8205517E7,No Label
173.194.123.23-10.8.0.14-443-45175-6,10.8.0.14,45175,173.194.123.23,443,6,14/04/2015 10:14:37 PM,59137316,11,12,739.0,387.0,517.0,0.0,67.18181818181819,152.10905178970657,149.0,0.0,32.25000000000001,44.13641044843505,19.040431256636673,0.3889253276222411,2688059.8181818184,1.2523266892021947E7,5.8757209E7,6.0,5.9111586E7,5911158.600000001,1.8582649066930395E7,5.8798133E7,125.0,5.9137316E7,5376119.636363637,1.7713071145804618E7,5.8782805E7,22.0,0,0,0,0,364,400,0.1860077653845501,0.202917562237691,0.0,517.0,46.91666666666667,106.75038607675494,11395.644927536234,0,1,0,0,0,0,0,0,1.0,48.95652173913044,67.18181818181819,32.25,0,0,0,0,0,0,11,739,12,387,-1,341,5,0,354455.0,0.0,354455.0,354455.0,5.8757209E7,0.0,5.8757209E7,5.8757209E7,No Label
216.58.219.237-10.8.0.14-443-33024-6,10.8.0.14,33024,216.58.219.237,443,6,14/04/2015 10:14:38 PM,58386909,9,11,739.0,345.0,517.0,0.0,82.11111111111111,165.95891392483597,149.0,0.0,31.363636363636363,46.178507397430515,18.56580556439458,0.34254253808846086,3072995.210526316,1.3353277039532632E7,5.82151E7,7.0,5.8360574E7,7295071.750000001,2.0586597835329406E7,5.8244289E7,129.0,5.8386909E7,5838690.899999999,1.8412275075781442E7,5.8240909E7,18.0,0,0,0,0,288,368,0.1541441421398074,0.18839839594865349,0.0,517.0,51.61904761904763,113.40391359669921,12860.44761904762,0,1,0,0,0,0,0,0,1.0,54.2,82.11111111111111,31.363636363636363,0,0,0,0,0,0,9,739,11,345,-1,341,5,0,145945.0,0.0,145945.0,145945.0,5.82151E7,0.0,5.82151E7,5.82151E7,No Label
173.194.123.23-10.8.0.14-443-45177-6,10.8.0.14,45177,173.194.123.23,443,6,14/04/2015 10:15:36 PM,180,2,1,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,46.0,46.0,0.0,427777.77777777775,16666.666666666664,90.0,90.50966799187809,154.0,26.0,26.0,26.0,0.0,26.0,26.0,0,0,0,0,0,0,1,0,0,64,32,11111.111111111111,5555.555555555556,0.0,46.0,30.75,21.68524844220144,470.25,0,0,0,1,1,0,0,0,0.0,41.0,15.5,46.0,0,0,0,0,0,0,2,31,1,46,-1,237,1,0,0,0,0,0,0,0,0,0,No Label
