Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-199.212.24.175-59154-443-6,199.212.24.175,443,131.202.240.150,59154,6,01/04/2015 06:34:02 PM,5,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,399999.99999999994,5.0,0.0,5.0,5.0,0,0,0,0,0,5.0,5.0,0.0,5.0,5.0,0,0,0,0,0,64,0.0,399999.99999999994,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,237,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-216.58.219.238-48056-443-6,131.202.240.150,48056,216.58.219.238,443,6,01/04/2015 06:38:09 PM,26596,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,75.19927808693036,26596.0,0.0,26596.0,26596.0,0,0,0,0,0,26596.0,26596.0,0.0,26596.0,26596.0,0,0,0,0,0,64,0.0,75.19927808693036,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,366,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.6.3-2255-53-17,131.202.240.150,2255,131.202.6.3,53,17,01/04/2015 06:41:09 PM,1248,0,2,0.0,253.0,0,0,0,0,212.0,41.0,126.5,120.91525958289962,202724.35897435897,1602.5641025641025,1248.0,0.0,1248.0,1248.0,0,0,0,0,0,1248.0,1248.0,0.0,1248.0,1248.0,0,0,0,0,0,16,0.0,1602.5641025641025,41.0,212.0,98.0,98.72689603142601,9747.0,0,0,0,0,0,0,0,0,0.0,147.0,0.0,126.5,0,0,0,0,0,0,0,0,2,253,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.5-25280-53-17,131.202.240.150,25280,131.202.244.5,53,17,01/04/2015 06:47:35 PM,55173,0,2,0.0,464.0,0,0,0,0,422.0,42.0,232.0,268.70057685088807,8409.9106446994,36.24961484784224,55173.0,0.0,55173.0,55173.0,0,0,0,0,0,55173.0,55173.0,0.0,55173.0,55173.0,0,0,0,0,0,16,0.0,36.24961484784224,42.0,422.0,168.66666666666669,219.3931022920578,48133.333333333336,0,0,0,0,0,0,0,0,0.0,253.0,0.0,232.0,0,0,0,0,0,0,0,0,2,464,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.243.27-445-5623-6,131.202.243.27,5623,131.202.240.150,445,6,01/04/2015 06:40:55 PM,12606016,16,17,2133.0,1922.0,498.0,0.0,133.31250000000003,123.18859186899843,285.0,0.0,113.05882352941177,78.10527398024675,321.67181130025534,2.6177977245150252,393938.0,2189562.1529892166,1.2391344E7,8.0,1.2605709E7,840380.6,3195892.4589447356,1.2391344E7,117.0,1.260574E7,787858.75,3094852.7284832904,1.2392054E7,31.0,0,0,0,0,332,364,1.2692352603709214,1.3485624641441039,0.0,498.0,119.26470588235294,101.99147582430585,10402.261140819965,0,1,0,0,0,0,0,0,1.0,122.87878787878788,133.3125,113.05882352941177,0,0,0,0,0,0,16,2133,17,1922,-1,279,13,0,208616.0,0.0,208616.0,208616.0,1.2391344E7,0.0,1.2391344E7,1.2391344E7,No Label
131.202.240.150-58.250.134.64-0-0-0,58.250.134.64,0,131.202.240.150,0,0,01/04/2015 06:40:21 PM,86386119,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046303735441570196,2.8795373E7,4.9874947733936734E7,8.6386002E7,24.0,0,0,0,0,0,8.6386119E7,4.31930595E7,6.108417660416256E7,8.6386095E7,24.0,0,0,0,0,0,0,0.011575933860392549,0.03472780158117764,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,-1,0,0,24.0,0.0,24.0,24.0,8.6386002E7,0.0,8.6386002E7,8.6386002E7,No Label
131.202.240.150-216.58.219.238-48205-443-6,131.202.240.150,48205,216.58.219.238,443,6,01/04/2015 06:33:44 PM,18441767,7,7,704.0,293.0,517.0,0.0,100.57142857142858,196.40761793003955,153.0,0.0,41.857142857142854,54.48066498440394,54.06206466007298,0.7591463442738432,1418597.4615384615,5075359.734810211,1.8310357E7,9.0,1.8415491E7,3069248.4999999995,7466623.099149889,1.8310357E7,344.0,131380.0,21896.666666666668,19199.606513329032,50647.0,59.0,0,0,0,0,236,240,0.3795731721369216,0.3795731721369216,0.0,517.0,66.46666666666667,137.8569997531949,19004.55238095238,0,1,0,0,0,0,0,0,1.0,71.21428571428571,100.57142857142857,41.857142857142854,0,0,0,0,0,0,7,704,7,293,-1,350,2,0,131410.0,0.0,131410.0,131410.0,1.8310357E7,0.0,1.8310357E7,1.8310357E7,No Label
131.202.240.150-203.205.176.12-0-0-0,203.205.176.12,0,131.202.240.150,0,0,01/04/2015 06:35:12 PM,46232768,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08651872195928222,1.5410922666666668E7,2.6692391064961646E7,4.6232641E7,45.0,0,0,0,0,0,4.6232768E7,2.3116384E7,3.269144012621411E7,4.6232723E7,45.0,0,0,0,0,0,0,0.021629680489820554,0.06488904146946166,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,-1,0,0,45.0,0.0,45.0,45.0,4.6232641E7,0.0,4.6232641E7,4.6232641E7,No Label
131.202.240.150-131.202.244.3-48682-53-17,131.202.240.150,48682,131.202.244.3,53,17,01/04/2015 06:41:47 PM,450,0,2,0.0,239.0,0,0,0,0,210.0,29.0,119.5,127.9863273947651,531111.1111111111,4444.444444444444,450.0,0.0,450.0,450.0,0,0,0,0,0,450.0,450.0,0.0,450.0,450.0,0,0,0,0,0,16,0.0,4444.444444444444,29.0,210.0,89.33333333333334,104.50039872332226,10920.333333333334,0,0,0,0,0,0,0,0,0.0,134.0,0.0,119.5,0,0,0,0,0,0,0,0,2,239,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-199.212.24.175-59194-443-6,199.212.24.175,443,131.202.240.150,59194,6,01/04/2015 06:47:55 PM,3,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,666666.6666666666,3.0,0.0,3.0,3.0,0,0,0,0,0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,0,64,0.0,666666.6666666666,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,237,0,0,0,0,0,0,0,0,0,0,No Label
